Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL2001-01-00	영어글쓰기(1)	3	헬버그더스틴	월1,2,수2	위212	20	34	0 (N)	0	0	0	0	O	36	1	36	20.32
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.6592	0.9736	3	O	 
2	36	Y (Y)	6	N	Y	0.6509	0.7631	3	O	 
3	31	Y (Y)	6	N	Y	0.5962	0.8947	3	O	 
4	30	Y (Y)	6	N	Y	0.3740	0.9210	2	O	 
5	30	Y (Y)	6	N	Y	0.3740	0.7631	2	O	 
6	30	Y (N)	2	N	Y	0.6888	0.9473	4	O	 
7	30	N (N)	6	N	Y	0.6746	1.0000	4	O	 
8	28	Y (Y)	6	N	Y	0.4037	0.9736	2	O	 
9	28	Y (Y)	3	N	Y	0.4111	0.8157	2	O	 
10	25	Y (Y)	6	N	Y	0.4888	0.7894	3	O	 
11	25	Y (Y)	4	N	Y	0.4185	0.9210	2	O	 
12	25	N (N)	2	N	Y	0.5000	0.8750	3	O	 
13	24	Y (Y)	6	N	Y	0.6370	0.9473	3	O	 
14	24	Y (Y)	6	N	Y	0.3333	0.6315	2	O	 
15	24	N (N)	5	N	Y	0.6428	0.5000	3	O	 
16	23	Y (Y)	6	N	Y	0.6518	0.8421	3	O	 
17	22	Y (Y)	6	N	Y	0.6592	0.8947	3	O	 
18	22	Y (Y)	6	N	Y	0.4333	0.9736	2	O	 
19	20	Y (Y)	6	N	Y	0.3888	0.8157	2	O	 
20	19	N (N)	6	N	Y	0.3769	0.9166	2	O	 
21	18	Y (N)	6	N	Y	0.4925	0.8157	3	X	 
22	18	N (N)	6	N	Y	0.4555	1.0000	2	X	 
23	17	Y (Y)	6	N	Y	0.3925	0.9473	2	X	 
24	17	Y (N)	4	N	Y	0.9444	0.9444	4	X	 
25	16	Y (Y)	6	N	Y	0.3962	0.9736	2	X	 
26	14	Y (N)	5	N	Y	0.7857	1.0000	3	X	 
27	13	Y (N)	6	N	Y	0.6583	0.9210	3	X	 
28	13	N (N)	6	N	Y	0.3690	0.6944	2	X	 
29	11	Y (Y)	5	N	Y	0.6296	0.8947	3	X	 
30	10	N (N)	6	N	Y	0.5714	0.8157	3	X	 
31	5	Y (Y)	5	N	Y	0.5000	0.9375	3	X	 
32	5	N (N)	6	N	Y	0.7460	1.0000	3	X	 
33	1	N (N)	6	Y	Y	1.0000	0.3157	4	X	 
34	1	N (N)	6	N	Y	0.6428	0.8333	4	X	 
