Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL3924-01-00	통역실습	3	전시온	수5,금5,6	위203	20	32	0 (N)	0	0	0	0	O	36	9	36	22.5
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	3	Y	Y	0.9583	0.8333	4	O	 
2	32	Y (Y)	5	Y	Y	0.8888	0.9473	4	O	 
3	30	N (N)	6	N	Y	0.8444	0.8421	4	O	 
4	30	N (N)	6	N	Y	0.3888	1.0000	2	O	 
5	30	N (N)	4	N	Y	0.7222	1.0000	3	O	 
6	27	Y (N)	6	N	Y	0.9285	1.0000	4	O	 
7	27	Y (Y)	6	N	Y	0.7629	0.7894	4	O	 
8	27	Y (Y)	6	N	Y	0.6518	0.6315	4	O	 
9	27	Y (Y)	6	N	Y	0.5555	0.8947	3	O	 
10	26	Y (Y)	6	N	Y	0.4259	0.8157	2	O	 
11	26	Y (Y)	4	N	Y	0.9185	0.7894	4	O	 
12	26	Y (Y)	4	N	Y	0.9111	0.9473	4	O	 
13	25	Y (Y)	6	N	Y	0.9777	1.0000	4	O	 
14	25	Y (Y)	6	N	Y	0.6685	0.8157	3	O	 
15	25	Y (Y)	6	N	Y	0.5555	0.9736	3	O	 
16	24	Y (Y)	6	N	Y	0.8740	0.9473	4	O	 
17	24	Y (Y)	6	N	Y	0.7037	0.8947	3	O	 
18	24	Y (Y)	5	N	Y	0.8148	0.7894	4	O	 
19	24	Y (Y)	5	N	Y	0.6518	0.9473	3	O	 
20	23	Y (Y)	6	Y	Y	0.8074	0.9473	4	O	 
21	22	Y (Y)	6	Y	Y	0.8740	0.7894	4	X	 
22	21	N (N)	6	N	Y	0.7063	1.0000	3	X	 
23	20	Y (Y)	6	N	Y	0.6740	0.9473	3	X	 
24	20	Y (Y)	4	N	Y	0.5000	0.9375	3	X	 
25	19	N (N)	4	Y	Y	0.9111	1.0000	4	X	 
26	13	N (N)	6	N	Y	0.5952	0.6666	3	X	 
27	12	Y (N)	6	Y	Y	0.8666	0.7894	4	X	 
28	12	Y (Y)	6	N	Y	0.7500	0.9375	4	X	 
29	12	Y (Y)	4	N	Y	0.5000	0.9375	3	X	 
30	12	N (N)	6	Y	Y	0.9037	0.9473	4	X	 
31	10	Y (Y)	6	N	Y	0.5666	0.8684	3	X	 
32	9	Y (Y)	6	N	Y	0.7111	0.9473	4	X	 
