Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL3926-01-00	영어권문학과영화	3	고강일	화2,3,목1	교306	40	33	0 (N)	0	0	0	0	O	36	1	32	13.82
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	32	N (N)	4	N	Y	0.7407	0.7894	4	O	 
2	22	N (N)	6	N	Y	0.7460	1.0000	3	O	 
3	22	N (N)	6	N	Y	0.3629	0.7894	2	O	 
4	22	N (N)	5	N	Y	0.3851	0.9473	2	O	 
5	21	N (N)	6	Y	Y	0.9185	0.9473	4	O	 
6	21	N (N)	6	N	Y	0.8370	0.9473	4	O	 
7	21	N (N)	4	N	Y	0.9444	0.9444	4	O	 
8	20	N (N)	6	Y	Y	0.8074	0.9473	4	O	 
9	20	N (N)	6	N	Y	0.7111	0.9473	4	O	 
10	18	N (N)	6	N	Y	1.0000	1.0000	4	O	 
11	17	N (N)	6	N	Y	0.7500	0.9375	4	O	 
12	17	N (N)	6	N	Y	0.7333	0.9473	4	O	 
13	17	N (N)	6	N	Y	0.5990	0.7894	3	O	 
14	15	N (N)	6	Y	Y	0.8666	0.6315	4	O	 
15	15	N (N)	6	N	Y	0.8809	1.0000	4	O	 
16	15	N (N)	6	N	Y	0.8518	0.9473	4	O	 
17	15	N (N)	6	N	Y	0.6000	0.8684	3	O	 
18	15	N (N)	6	N	Y	0.4166	0.8611	2	O	 
19	15	N (N)	4	N	Y	0.6555	1.0000	3	O	 
20	14	N (N)	6	N	Y	0.8148	0.9473	4	O	 
21	12	N (N)	6	N	Y	0.5925	0.7894	4	O	 
22	12	N (N)	4	N	Y	0.3925	0.8421	2	O	 
23	11	N (N)	6	N	Y	0.7301	0.8333	3	O	 
24	11	N (N)	6	N	Y	0.4888	0.2631	3	O	 
25	11	N (N)	5	N	Y	0.7703	0.9473	4	O	 
26	10	N (N)	5	Y	Y	1.0000	0.9473	4	O	 
27	7	N (N)	6	N	Y	0.7063	1.0000	3	O	 
28	2	N (N)	6	Y	Y	1.0000	0.7894	4	O	 
29	2	N (N)	6	N	Y	0.6444	0.7894	3	O	 
30	1	N (N)	6	Y	Y	1.0000	0.1578	4	O	 
31	1	N (N)	6	Y	Y	0.9703	1.0000	4	O	 
32	1	N (N)	6	N	Y	0.6666	0.7894	4	O	 
33	1	N (N)	6	N	Y	0.6509	1.0000	3	O	 
