Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
PHI2259-01-00	논리학	3	이풍실	수7,금7,8	위415	45	31	0 (N)	0	0	0	0	O	36	1	33	9.35
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	33	Y (Y)	6	Y	N	0.9407	0.9473	4	O	 
2	30	Y (N)	6	N	Y	0.5783	0.9473	4	O	 
3	24	N (N)	6	N	Y	0.2714	1.0000	2	O	 
4	17	Y (Y)	6	N	Y	0.3111	0.6315	2	O	 
5	17	N (N)	6	N	Y	0.4074	0.8947	2	O	 
6	14	Y (Y)	6	N	Y	0.4074	0.7894	2	O	 
7	13	Y (Y)	6	N	Y	0.4111	0.8157	2	O	 
8	12	N (N)	5	N	Y	0.7222	1.0000	3	O	 
9	12	N (N)	5	N	Y	0.6592	0.7894	4	O	 
10	10	Y (Y)	5	Y	Y	0.9481	0.8421	4	O	 
11	10	Y (Y)	5	N	N	0.5666	0.4736	3	O	 
12	10	N (N)	6	N	Y	0.4407	1.0000	2	O	 
13	10	N (N)	6	N	Y	0.3888	0.9444	2	O	 
14	9	Y (Y)	6	N	Y	0.3814	0.8157	2	O	 
15	8	Y (Y)	6	N	Y	0.3074	0.7894	2	O	 
16	7	Y (Y)	6	Y	N	0.8851	0.9473	4	O	 
17	7	Y (Y)	6	N	Y	0.2296	0.7368	2	O	 
18	6	N (N)	5	N	Y	0.5481	0.9736	3	O	 
19	5	Y (N)	6	N	Y	0.4960	0.8333	3	O	 
20	5	Y (Y)	6	N	Y	0.3851	0.8947	2	O	 
21	5	Y (Y)	6	N	N	0.6629	0.9736	3	O	 
22	5	N (N)	6	N	Y	0.5039	0.6666	3	O	 
23	5	N (N)	6	N	Y	0.2962	1.0000	2	O	 
24	4	Y (Y)	6	N	Y	0.4185	0.9736	2	O	 
25	3	Y (Y)	6	N	Y	0.3555	0.9473	2	O	 
26	3	N (N)	6	N	Y	0.5555	1.0000	3	O	 
27	2	Y (N)	6	Y	Y	0.8592	0.7894	4	O	 
28	1	Y (Y)	6	Y	Y	1.0000	0.2631	4	O	 
29	1	Y (N)	6	Y	Y	0.9345	1.0000	4	O	 
30	1	Y (Y)	5	N	N	0.8962	0.7894	4	O	 
31	1	N (N)	6	N	Y	0.6011	1.0000	3	O	 
