Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ANT4103-01-00	경제인류학	3	이경묵	월5,6,수6	빌110	50	35	20 (Y)	0	0	0	0	O	36	1	30	8.46
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	Y (Y)	3	Y	Y	0.8333	0.6666	4	O	 
2	26	N (N)	3	Y	Y	1.0000	0.7894	4	O	 
3	17	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
4	16	N (N)	6	N	Y	0.6428	0.8333	3	O	 
5	16	N (N)	5	N	Y	0.6904	0.9444	3	O	 
6	15	Y (Y)	5	N	Y	0.6746	0.9444	3	O	 
7	15	Y (Y)	4	Y	Y	0.9444	0.8333	4	O	 
8	12	Y (Y)	6	N	Y	0.8809	0.8333	4	O	 
9	12	Y (Y)	6	N	Y	0.8253	1.0000	4	O	 
10	12	N (N)	6	Y	Y	0.8412	1.0000	4	O	 
11	11	Y (Y)	6	N	Y	0.6518	0.8684	3	O	 
12	11	Y (Y)	6	N	Y	0.3730	0.8333	2	O	 
13	10	Y (Y)	6	Y	Y	0.7539	0.8333	4	O	 
14	10	Y (Y)	6	N	Y	0.6190	0.6666	3	O	 
15	10	N (N)	6	N	Y	0.8962	0.7894	4	O	 
16	10	N (N)	3	N	Y	0.9365	1.0000	4	O	 
17	8	Y (Y)	6	N	Y	0.8412	0.8333	4	O	 
18	8	Y (Y)	6	N	Y	0.6686	0.9722	3	O	 
19	7	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
20	7	N (N)	6	N	Y	0.8000	0.9473	4	O	 
21	4	Y (Y)	6	N	Y	0.9107	1.0000	4	O	 
22	4	Y (Y)	6	N	Y	0.8253	0.8333	4	O	 
23	3	Y (Y)	6	N	Y	0.8809	0.9444	4	O	 
24	3	Y (Y)	6	N	Y	0.8174	0.8333	4	O	 
25	3	Y (Y)	5	N	Y	0.2619	0.8888	2	O	 
26	2	Y (Y)	6	N	Y	0.8888	0.8333	4	O	 
27	2	Y (Y)	6	N	Y	0.8809	0.8333	4	O	 
28	2	Y (Y)	6	N	Y	0.8015	1.0000	4	O	 
29	2	Y (Y)	6	N	Y	0.4841	0.8611	3	O	 
30	2	Y (Y)	6	N	Y	0.4424	0.3333	3	O	 
31	2	N (N)	6	N	Y	0.6984	0.8333	4	O	 
32	1	Y (Y)	6	Y	Y	0.8095	0.7777	4	O	 
33	1	Y (Y)	6	N	Y	0.8174	0.8333	4	O	 
34	1	Y (Y)	6	N	Y	0.5037	0.9210	3	O	 
35	1	N (N)	6	Y	Y	1.0000	0.0000	4	O	 
