Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
SOW3103-01-00	노인복지론	3	남석인	목7,8,9	빌103	50	33	0 (N)	0	0	0	0	O	36	1	26	7.45
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	26	Y (Y)	3	Y	Y	0.9444	0.6666	4	O	 
2	24	Y (Y)	3	Y	Y	0.9285	1.0000	4	O	 
3	23	N (N)	3	N	Y	1.0000	0.8333	4	O	 
4	19	N (N)	6	N	Y	0.6984	1.0000	3	O	 
5	16	Y (N)	3	Y	Y	1.0000	1.0000	4	O	 
6	10	Y (N)	6	N	Y	0.8000	0.8421	4	O	 
7	10	Y (N)	6	N	Y	0.4801	0.8611	2	O	 
8	9	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
9	9	Y (Y)	6	N	Y	0.4404	0.8611	2	O	 
10	8	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
11	7	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
12	7	Y (Y)	6	N	Y	0.5039	0.8611	3	O	 
13	7	Y (Y)	6	N	Y	0.4126	0.8888	2	O	 
14	7	N (N)	6	N	Y	0.5000	0.9736	3	O	 
15	5	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
16	4	Y (Y)	6	Y	Y	0.7301	0.8333	4	O	 
17	3	Y (Y)	6	N	Y	0.8412	0.3333	4	O	 
18	3	Y (Y)	6	N	Y	0.7539	1.0000	4	O	 
19	3	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
20	3	Y (Y)	6	N	Y	0.3888	0.9444	2	O	 
21	3	Y (Y)	6	N	Y	0.3809	0.9444	2	O	 
22	3	Y (Y)	5	N	Y	0.9841	1.0000	4	O	 
23	3	N (N)	6	N	Y	0.9037	0.9473	4	O	 
24	2	Y (Y)	6	N	Y	0.4285	1.0000	2	O	 
25	2	Y (Y)	6	N	Y	0.4285	1.0000	2	O	 
26	1	Y (Y)	6	Y	Y	0.9206	1.0000	4	O	 
27	1	Y (Y)	6	Y	Y	0.8571	0.6666	4	O	 
28	1	Y (Y)	6	N	Y	0.6944	1.0000	3	O	 
29	1	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
30	1	Y (Y)	6	N	Y	0.6666	0.6666	3	O	 
31	1	Y (Y)	4	N	Y	0.9047	0.8333	4	O	 
0	12	Y (Y)	6	N	Y	0.8730	0.5000	4	O	* 
0	12	Y (N)	6	N	Y	0.5407	0.8421	3	O	* 
