Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
COM3165-01-00	실전취재보도	3	이필재	금2,3,4	빌210	30	37	15 (N)	0	0	7	23	X	18	1	18	11.84
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (N)	6	N	Y	0.8222	1.0000	4	O	 
2	18	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
3	18	Y (N)	6	N	Y	0.7757	0.8333	4	O	 
4	18	Y (Y)	6	N	Y	0.6904	0.8333	3	O	 
5	18	Y (Y)	6	N	Y	0.6746	1.0000	4	O	 
6	18	Y (N)	6	N	Y	0.6296	0.7894	3	O	 
7	18	Y (N)	5	Y	Y	0.9555	0.7894	4	O	 
8	18	Y (Y)	5	Y	Y	0.9047	0.8333	4	O	 
9	18	Y (N)	4	Y	Y	1.0000	0.3333	4	O	 
10	18	Y (N)	3	Y	Y	0.8888	0.3333	4	O	 
11	18	Y (Y)	3	N	Y	0.8968	0.8333	4	O	 
12	18	N (N)	6	N	Y	0.7857	1.0000	4	O	 
13	18	N (N)	6	N	Y	0.7142	1.0000	3	O	 
14	18	N (N)	6	N	Y	0.6222	0.7894	3	O	 
15	18	N (N)	6	N	Y	0.4296	0.7894	3	O	 
16	16	Y (Y)	6	N	Y	0.6706	0.8333	3	O	 
17	16	Y (Y)	5	N	Y	0.8015	1.0000	4	O	 
18	14	N (N)	6	Y	Y	0.9047	1.0000	4	O	 
19	14	N (N)	5	N	Y	0.9925	1.0000	4	O	 
20	13	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
21	12	Y (Y)	6	N	Y	0.6031	0.6666	3	X	 
22	11	Y (Y)	6	Y	Y	0.9761	0.6666	4	O	 
23	11	Y (Y)	6	N	Y	0.6984	0.8333	3	X	 
24	11	N (N)	6	N	Y	0.8551	1.0000	4	O	 
25	10	N (N)	6	N	Y	1.0000	0.0526	4	O	 
26	10	N (N)	6	N	Y	0.6190	1.0000	3	X	 
27	8	Y (N)	6	N	Y	0.6740	0.9473	3	X	 
28	5	Y (Y)	6	N	Y	0.6428	0.6666	3	X	 
29	4	Y (Y)	6	N	Y	0.6230	0.8611	3	X	 
30	3	N (N)	6	N	Y	0.6984	0.7500	3	X	 
31	2	Y (Y)	6	Y	Y	0.9920	1.0000	4	O	 
32	2	Y (N)	6	N	Y	0.8095	1.0000	4	O	 
33	2	N (N)	6	N	Y	1.0000	0.9444	4	X	 
34	1	Y (Y)	6	Y	Y	0.9682	1.0000	4	O	 
35	1	Y (N)	6	Y	Y	0.9603	0.8333	4	X	 
36	1	Y (N)	6	N	Y	0.7142	0.8333	3	X	 
37	1	Y (Y)	4	N	Y	0.6825	1.0000	3	X	 
