Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ECO3110-02-00	재정학	3	박태규	월7,8,수8	상본101	100	63	50 (N)	0	10	35	55	O	12	1	12	9.49
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	N (N)	6	N	Y	0.6269	1.0000	3	O	* 
2	12	Y (Y)	6	Y	Y	1.0000	0.5000	4	O	 
3	12	Y (Y)	6	Y	Y	0.9365	1.0000	4	O	 
4	12	Y (N)	6	Y	Y	0.9333	0.4736	4	O	 
5	12	Y (N)	6	Y	Y	0.8809	1.0000	4	O	 
6	12	Y (N)	6	Y	Y	0.8809	0.8333	4	O	 
7	12	Y (Y)	6	N	Y	0.8492	1.0000	3	O	 
8	12	Y (Y)	6	N	Y	0.7222	0.1666	4	O	 
9	12	Y (N)	6	N	Y	0.7037	0.7894	3	O	 
10	12	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
11	12	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
12	12	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
13	12	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
14	12	Y (N)	6	N	Y	0.5793	1.0000	3	O	 
15	12	Y (Y)	6	N	Y	0.5793	1.0000	3	O	 
16	12	Y (N)	6	N	Y	0.5714	0.8333	3	O	 
17	12	Y (Y)	6	N	Y	0.5634	0.8611	3	O	 
18	12	Y (Y)	6	N	Y	0.5396	0.9722	3	O	 
19	12	Y (Y)	6	N	Y	0.4920	1.0000	3	O	 
20	12	Y (Y)	6	N	Y	0.4682	1.0000	3	O	 
21	12	Y (Y)	6	N	Y	0.4325	0.8611	2	O	 
22	12	Y (Y)	6	N	Y	0.4246	0.9722	2	O	 
23	12	Y (Y)	6	N	Y	0.3611	0.6388	2	O	 
24	12	Y (Y)	6	N	Y	0.3253	1.0000	2	O	 
25	12	Y (Y)	6	N	N	0.9285	0.8333	4	O	 
26	12	Y (Y)	5	N	Y	0.5396	1.0000	3	O	 
27	12	Y (N)	4	N	Y	1.0000	1.0000	4	O	 
28	12	Y (Y)	4	N	Y	0.5000	0.8750	3	O	 
29	12	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
30	12	N (N)	6	Y	Y	1.0000	0.3888	4	O	 
31	12	N (N)	6	Y	Y	0.9444	0.8333	4	O	 
32	12	N (N)	6	Y	Y	0.9037	0.6315	4	O	 
33	12	N (N)	6	Y	Y	0.8888	0.7894	4	O	 
34	12	N (N)	6	N	Y	0.8857	0.8421	4	O	 
35	12	N (N)	6	N	Y	0.7936	1.0000	4	O	 
36	12	N (N)	6	N	Y	0.6746	0.6666	3	O	 
37	12	N (N)	6	N	Y	0.6507	0.8333	3	O	 
38	12	N (N)	6	N	Y	0.6349	0.8333	4	O	 
39	12	N (N)	6	N	Y	0.5476	0.8333	3	O	 
40	12	N (N)	6	N	Y	0.4841	0.8333	3	O	 
41	12	N (N)	2	Y	N	1.0000	0.3333	4	O	 
42	10	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
43	10	N (N)	6	Y	Y	0.8412	0.6666	4	O	 
44	10	N (N)	6	N	Y	0.7380	1.0000	3	O	 
45	9	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
46	9	N (N)	5	Y	Y	0.9126	1.0000	4	O	 
47	8	Y (Y)	6	N	Y	0.6269	0.8333	3	O	 
48	5	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
49	5	Y (Y)	6	N	Y	0.7738	0.6666	4	O	 
50	5	Y (Y)	6	N	Y	0.3928	1.0000	2	O	 
51	3	Y (Y)	6	N	Y	0.4801	1.0000	2	O	 
52	2	Y (Y)	6	N	Y	0.7936	0.8333	4	O	 
53	2	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
54	2	Y (N)	6	N	Y	0.7037	0.9473	3	O	 
55	2	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
56	2	Y (Y)	6	N	Y	0.5079	0.8333	3	O	 
57	2	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
58	2	Y (Y)	6	N	Y	0.4047	0.8333	2	O	 
59	2	N (N)	6	N	Y	0.7698	0.6666	4	O	 
60	2	N (N)	6	N	Y	0.5595	1.0000	3	O	 
61	1	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
62	1	Y (Y)	6	N	Y	0.5238	0.8333	3	O	 
0	12	Y (Y)	6	N	Y	0.6190	0.8333	3	O	* 
