Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ECO4864-01-00	글로벌경제와미래	3	김선빈	화8,9,10	상본B120	126	97	63 (N)	0	13	44	69	X	12	1	12	9.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (N)	6	Y	Y	1.0000	0.9473	4	O	 
2	12	Y (N)	6	Y	Y	1.0000	0.8333	4	O	 
3	12	Y (Y)	6	Y	Y	1.0000	0.6666	4	O	 
4	12	Y (N)	6	Y	Y	1.0000	0.6666	4	O	 
5	12	Y (Y)	6	Y	Y	1.0000	0.5000	4	O	 
6	12	Y (Y)	6	Y	Y	1.0000	0.5000	4	O	 
7	12	Y (N)	6	Y	Y	1.0000	0.4736	4	O	 
8	12	Y (N)	6	Y	Y	0.9777	0.7894	4	O	 
9	12	Y (Y)	6	Y	Y	0.9761	0.6666	4	O	 
10	12	Y (Y)	6	Y	Y	0.9285	0.3333	4	O	 
11	12	Y (N)	6	Y	Y	0.9037	0.7894	4	O	 
12	12	Y (Y)	6	Y	Y	0.8888	0.8333	4	O	 
13	12	Y (N)	6	Y	Y	0.8809	1.0000	4	O	 
14	12	Y (N)	6	Y	Y	0.8809	0.8333	4	O	 
15	12	Y (N)	6	Y	Y	0.8740	0.4736	4	O	 
16	12	Y (Y)	6	Y	Y	0.8730	1.0000	4	O	 
17	12	Y (Y)	6	Y	Y	0.8730	0.8333	4	O	 
18	12	Y (Y)	6	Y	Y	0.8571	0.6666	4	O	 
19	12	Y (Y)	6	N	Y	1.0000	0.6666	4	O	 
20	12	Y (N)	6	N	Y	0.9603	0.6666	4	O	 
21	12	Y (N)	6	N	Y	0.8962	0.7894	4	O	 
22	12	Y (N)	6	N	Y	0.8730	1.0000	4	O	 
23	12	Y (Y)	6	N	Y	0.8650	1.0000	4	O	 
24	12	Y (Y)	6	N	Y	0.8650	1.0000	4	O	 
25	12	Y (Y)	6	N	Y	0.8174	1.0000	4	O	 
26	12	Y (N)	6	N	Y	0.7777	0.7894	4	O	 
27	12	Y (Y)	6	N	Y	0.7619	0.8333	4	O	 
28	12	Y (Y)	6	N	Y	0.7380	0.6666	4	O	 
29	12	Y (N)	6	N	Y	0.6984	0.8333	4	O	 
30	12	Y (N)	6	N	Y	0.6825	0.8333	3	O	 
31	12	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
32	12	Y (Y)	6	N	Y	0.6031	0.6666	3	O	 
33	12	Y (Y)	6	N	Y	0.5634	1.0000	4	O	 
34	12	Y (Y)	5	Y	Y	0.8968	0.8333	4	O	 
35	12	Y (Y)	5	N	Y	0.7301	0.6666	4	O	 
36	12	Y (Y)	4	Y	Y	1.0000	0.1666	4	O	 
37	12	Y (Y)	4	Y	Y	0.9444	1.0000	4	O	 
38	12	Y (Y)	4	N	Y	0.9047	0.6666	4	O	 
39	12	Y (Y)	4	N	Y	0.7698	1.0000	4	O	 
40	12	Y (Y)	2	Y	Y	0.9761	0.8333	4	O	 
41	12	Y (N)	2	Y	Y	0.9761	0.0000	4	O	 
42	12	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
43	12	N (N)	6	Y	Y	1.0000	0.6666	4	O	 
44	12	N (N)	6	Y	Y	0.9523	1.0000	4	O	 
45	12	N (N)	6	Y	Y	0.9365	0.8888	4	O	 
46	12	N (N)	6	Y	Y	0.8809	0.5000	4	O	 
47	12	N (N)	6	N	Y	0.9206	0.8333	4	O	 
48	12	N (N)	5	N	Y	0.8714	1.0000	4	O	 
49	12	N (N)	4	Y	Y	0.9206	0.8333	4	O	 
50	12	N (N)	1	Y	Y	1.0000	1.0000	4	O	 
51	10	Y (Y)	6	N	Y	0.3730	0.8055	3	O	 
52	10	N (N)	6	N	Y	0.8333	0.8333	4	O	 
53	8	N (N)	6	N	Y	0.6518	0.9473	4	O	 
54	7	Y (Y)	6	Y	Y	1.0000	0.8333	4	O	 
55	7	Y (Y)	6	N	Y	0.7460	1.0000	4	O	 
56	6	N (N)	6	N	Y	0.4365	0.9444	3	O	 
57	5	Y (Y)	5	Y	Y	1.0000	0.5000	4	O	 
58	4	N (N)	6	N	Y	0.7063	1.0000	3	O	 
59	3	Y (Y)	6	Y	Y	1.0000	0.7222	4	O	 
60	3	Y (Y)	6	Y	Y	0.9444	0.8333	4	X	 
61	3	Y (Y)	6	Y	Y	0.8650	1.0000	4	X	 
62	2	Y (Y)	6	N	Y	0.8253	0.8333	4	X	 
63	1	Y (Y)	6	Y	Y	1.0000	0.7777	4	X	 
64	1	Y (Y)	6	Y	Y	1.0000	0.5000	4	X	 
65	1	Y (Y)	6	Y	Y	1.0000	0.5000	4	X	 
66	1	Y (Y)	6	Y	Y	1.0000	0.4444	4	X	 
67	1	Y (Y)	6	Y	Y	1.0000	0.3333	4	X	 
68	1	Y (Y)	6	Y	Y	1.0000	0.1666	4	X	 
69	1	Y (N)	6	Y	Y	1.0000	0.1578	4	X	 
70	1	Y (Y)	6	Y	Y	1.0000	0.0555	4	X	 
71	1	Y (Y)	6	Y	Y	1.0000	0.0000	4	X	 
72	1	Y (Y)	6	Y	Y	0.9920	0.8333	4	X	 
73	1	Y (Y)	6	Y	Y	0.9206	0.5000	4	X	 
74	1	Y (Y)	6	N	Y	1.0000	0.0000	4	X	 
75	1	N (N)	6	Y	Y	0.9841	0.5000	4	X	 
76	1	N (N)	6	Y	Y	0.8650	0.8333	4	X	 
77	1	N (N)	6	N	Y	0.9206	1.0000	4	X	 
78	1	N (N)	6	N	Y	0.7361	0.8611	3	O	 
79	1	N (N)	6	N	Y	0.7222	0.8333	3	O	 
0	12	Y (Y)	6	N	Y	0.6587	0.6666	4	O	* 
0	12	Y (Y)	6	N	Y	0.8650	1.0000	4	O	* 
0	12	Y (Y)	6	N	Y	0.7619	1.0000	4	O	* 
0	12	Y (Y)	5	Y	Y	0.9285	1.0000	4	O	* 
0	12	Y (Y)	6	Y	Y	0.9126	1.0000	4	O	* 
0	12	Y (Y)	6	Y	Y	0.9047	1.0000	4	O	* 
0	12	Y (Y)	2	N	Y	0.9761	0.5555	4	O	* 
0	12	Y (Y)	6	Y	Y	0.9047	0.6666	4	O	* 
0	12	Y (Y)	6	Y	Y	0.9285	0.1666	4	O	* 
0	12	Y (Y)	6	N	Y	0.8095	1.0000	4	O	* 
0	12	Y (Y)	6	N	Y	0.6428	1.0000	3	O	* 
0	12	Y (Y)	6	N	Y	0.6349	1.0000	3	O	* 
0	12	Y (Y)	6	Y	Y	0.9285	0.8333	4	O	* 
0	12	Y (Y)	6	Y	Y	0.9126	0.7777	4	O	* 
0	12	Y (Y)	6	N	Y	0.8095	1.0000	4	O	* 
0	12	Y (Y)	6	Y	Y	0.8968	0.6666	4	O	* 
0	12	Y (Y)	6	N	Y	0.8492	0.6666	4	O	* 
0	12	Y (Y)	6	Y	Y	0.8571	0.8333	4	O	* 
