Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
STA2104-02-00	컴퓨터자료처리	3	한선우	월3,4,수4	상본B101	48	37	30 (Y)	0	25	12	11	O	18	1	18	11.46
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	N	N	0.9523	1.0000	4	O	 
2	18	Y (Y)	5	N	Y	0.6190	0.8333	3	O	 
3	18	N (N)	6	Y	N	0.9407	0.9473	4	O	 
4	18	N (N)	6	N	Y	0.8888	1.0000	4	O	 
5	18	N (N)	6	N	Y	0.6666	0.8333	3	O	 
6	18	N (N)	6	N	Y	0.3851	0.9473	2	O	 
7	18	N (N)	6	N	Y	0.3849	0.8333	2	O	 
8	18	N (N)	6	N	N	1.0000	0.9444	4	O	 
9	15	Y (Y)	6	N	Y	0.8095	0.5555	4	O	 
10	15	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
11	15	N (N)	6	N	Y	0.6825	0.8333	3	O	 
12	14	N (N)	6	N	Y	0.8618	0.9375	2	O	 
13	13	N (N)	6	N	Y	0.7698	1.0000	4	O	 
14	12	Y (Y)	6	N	Y	0.5000	0.6666	3	O	 
15	12	Y (Y)	6	N	N	0.7698	0.9444	4	O	 
16	12	N (N)	6	N	Y	0.6666	1.0000	3	O	 
17	12	N (N)	6	N	Y	0.5714	1.0000	3	O	 
18	12	N (N)	6	N	Y	0.4444	1.0000	2	O	 
19	11	N (N)	6	N	Y	0.4392	0.9736	2	O	 
20	11	N (N)	6	N	Y	0.3892	0.8157	2	O	 
21	10	Y (Y)	6	N	Y	0.6428	0.8333	3	O	 
22	10	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
23	10	N (N)	6	Y	Y	0.9761	1.0000	4	O	 
24	10	N (N)	6	N	Y	0.6269	1.0000	3	O	 
25	10	N (N)	6	N	Y	0.6269	0.8333	3	O	 
26	10	N (N)	6	N	Y	0.5793	0.8333	3	O	 
27	8	N (N)	6	N	Y	0.8888	0.6666	4	X	 
28	8	N (N)	6	N	Y	0.4206	0.8333	2	X	 
29	8	N (N)	6	N	Y	0.3015	0.8333	2	X	 
30	7	Y (Y)	6	N	N	0.4007	1.0000	2	O	 
31	7	N (N)	6	Y	Y	0.9285	0.7894	4	X	 
32	7	N (N)	6	N	Y	0.4325	0.8611	2	X	 
33	6	Y (Y)	6	N	N	0.4206	0.9444	2	O	 
34	6	N (N)	6	N	Y	0.6984	0.8333	3	X	 
35	6	N (N)	6	N	Y	0.6190	1.0000	3	X	 
36	2	N (N)	6	N	Y	0.7222	1.0000	4	X	 
37	1	N (N)	6	Y	Y	1.0000	0.1666	4	X	 
