Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
LSB3202-01-00	세포생물학(1)	3	이승택,박현우	화1,2,목3	과B133	70	67	0 (N)	0	0	0	0	O	36	1	36	8.36
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	2	N	N	0.9777	0.9473	4	O	 
2	36	N (N)	3	Y	Y	1.0000	0.9583	4	O	 
3	21	Y (Y)	6	N	Y	0.3888	0.7631	2	O	 
4	20	Y (Y)	3	N	Y	0.9185	0.6315	4	O	 
5	20	N (N)	6	Y	Y	1.0000	0.2631	4	O	 
6	20	N (N)	6	N	Y	0.5357	0.8333	3	O	 
7	20	N (N)	3	Y	Y	0.9407	1.0000	4	O	 
8	19	Y (Y)	6	N	N	0.6370	0.9736	3	O	 
9	16	Y (Y)	6	N	Y	0.4888	0.6315	3	O	 
10	15	Y (N)	6	N	Y	0.7851	1.0000	3	O	 
11	15	Y (N)	5	N	Y	0.7185	1.0000	3	O	 
12	15	Y (Y)	5	N	N	0.6518	0.7894	4	O	 
13	11	Y (Y)	6	N	Y	0.4148	1.0000	3	O	 
14	10	Y (Y)	6	Y	Y	0.7370	0.7894	4	O	 
15	10	Y (N)	6	N	Y	0.9398	0.9473	4	O	 
16	10	Y (N)	6	N	Y	0.4642	1.0000	2	O	 
17	10	Y (Y)	3	Y	N	0.9777	0.5789	4	O	 
18	10	N (N)	6	Y	Y	0.8785	0.9473	4	O	 
19	10	N (N)	6	N	Y	0.7642	0.9473	3	O	 
20	9	Y (N)	6	N	Y	0.5407	0.7631	3	O	 
21	9	N (N)	6	Y	Y	0.8928	0.9473	4	O	 
22	9	N (N)	6	N	Y	0.8714	0.9473	4	O	 
23	8	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
24	8	Y (N)	6	N	Y	0.4325	1.0000	2	O	 
25	8	Y (Y)	6	N	Y	0.3851	0.7894	3	O	 
26	8	Y (Y)	6	N	Y	0.3259	0.9210	2	O	 
27	8	Y (Y)	6	N	N	0.6592	1.0000	3	O	 
28	8	Y (Y)	5	N	Y	0.3888	0.8684	2	O	 
29	7	Y (N)	6	N	Y	0.9571	0.9473	4	O	 
30	7	Y (Y)	6	N	Y	0.2357	0.8421	2	O	 
31	7	Y (Y)	6	N	N	0.4296	0.6315	3	O	 
32	6	Y (Y)	6	Y	Y	0.8714	0.8421	4	O	 
33	6	Y (Y)	6	N	Y	0.3814	0.8157	2	O	 
34	6	Y (Y)	6	N	N	0.4259	0.8157	2	O	 
35	6	N (N)	6	N	Y	0.8518	0.5263	4	O	 
36	6	N (N)	6	N	Y	0.6592	0.9473	3	O	 
37	6	N (N)	6	N	Y	0.5238	0.7777	3	O	 
38	5	Y (Y)	6	N	Y	0.5642	1.0000	3	O	 
39	5	Y (Y)	6	N	Y	0.4259	0.9736	2	O	 
40	5	Y (Y)	6	N	Y	0.4185	0.9736	2	O	 
41	5	Y (Y)	6	N	Y	0.3888	0.9736	2	O	 
42	5	Y (Y)	6	N	Y	0.2666	0.8421	2	O	 
43	5	N (N)	6	N	Y	0.5857	0.6315	3	O	 
44	4	Y (Y)	6	N	Y	0.4185	0.9210	2	O	 
45	4	Y (N)	6	N	Y	0.4148	0.8947	2	O	 
46	4	Y (Y)	6	N	Y	0.4037	0.8684	2	O	 
47	4	N (N)	6	N	Y	0.5851	0.7894	3	O	 
48	4	N (N)	6	N	Y	0.4071	0.9473	2	O	 
49	4	N (N)	5	N	Y	0.5396	0.7500	3	O	 
50	3	Y (Y)	6	N	Y	0.6814	0.7368	3	O	 
51	3	Y (Y)	6	N	Y	0.5851	0.9473	3	O	 
52	3	Y (Y)	6	N	Y	0.3962	0.8684	2	O	 
53	3	Y (Y)	6	N	Y	0.3357	0.9473	2	O	 
54	3	Y (Y)	6	N	N	0.6888	0.9473	3	O	 
55	3	Y (Y)	5	N	N	0.8370	1.0000	4	O	 
56	3	N (N)	6	N	Y	0.4518	1.0000	2	O	 
57	3	N (N)	5	N	Y	0.3285	0.7894	2	O	 
58	2	Y (Y)	6	Y	Y	0.8148	1.0000	4	O	 
59	2	Y (N)	6	Y	N	1.0000	1.0000	4	O	 
60	2	Y (Y)	6	N	Y	0.5925	0.8947	3	O	 
61	2	Y (Y)	6	N	Y	0.4481	1.0000	2	O	 
62	2	Y (Y)	5	N	Y	0.3740	0.9210	2	O	 
63	1	Y (Y)	6	Y	N	0.9333	0.6842	4	O	 
64	1	Y (Y)	6	N	Y	0.5259	0.9736	3	O	 
65	1	Y (Y)	6	N	Y	0.4111	0.9736	2	O	 
66	1	Y (Y)	6	N	Y	0.3074	0.8684	2	O	 
0	12	Y (Y)	6	N	Y	0.3814	0.8157	2	O	* 
