Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BCH3104-01-00	분자생리학	3	이한웅	화6,7,금2	과S321	45	23	0 (N)	0	0	0	0	O	36	1	20	4.17
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	N (N)	2	Y	Y	1.0000	0.6666	4	O	 
2	13	Y (N)	5	N	Y	0.7185	1.0000	3	O	 
3	11	Y (N)	6	N	Y	0.7851	1.0000	3	O	 
4	11	Y (Y)	6	N	N	0.8592	0.7894	4	O	 
5	5	Y (Y)	6	N	Y	0.7185	0.6842	4	O	 
6	5	Y (Y)	6	N	Y	0.6518	0.9736	3	O	 
7	4	Y (Y)	6	N	Y	0.6888	0.6315	4	O	 
8	4	N (N)	5	N	Y	0.4523	1.0000	2	O	 
9	3	Y (Y)	6	Y	Y	0.8814	1.0000	4	O	 
10	3	N (N)	6	N	Y	0.3968	0.8888	2	O	 
11	2	Y (Y)	6	Y	Y	0.9111	0.7894	4	O	 
12	2	Y (Y)	6	N	Y	0.8222	0.9473	4	O	 
13	2	Y (Y)	6	N	Y	0.6370	0.9736	3	O	 
14	2	N (N)	6	Y	Y	0.8518	0.9473	4	O	 
15	1	Y (Y)	6	Y	Y	0.9333	0.6842	4	O	 
16	1	Y (Y)	6	Y	Y	0.8962	1.0000	4	O	 
17	1	Y (Y)	6	N	Y	0.7555	1.0000	4	O	 
18	1	Y (Y)	6	N	Y	0.6000	0.9473	3	O	 
19	1	Y (Y)	6	N	Y	0.4888	0.6315	3	O	 
20	1	Y (Y)	5	N	Y	0.2962	1.0000	2	O	 
21	1	N (N)	6	N	Y	0.5039	1.0000	2	O	 
22	1	N (N)	6	N	Y	0.3037	1.0000	2	O	 
23	1	N (N)	5	Y	Y	0.9428	0.9473	4	O	 
