Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
FNS2101-01-00	급식경영학	3	함선옥	화7,목6,7	삼508	20	51	0 (N)	0	0	0	0	O	36	1	36	12
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.4047	0.8333	2	O	 
2	36	Y (Y)	6	N	N	1.0000	1.0000	4	O	 
3	36	N (N)	6	N	Y	0.4246	1.0000	2	O	 
4	26	Y (Y)	6	N	Y	0.6904	1.0000	3	O	 
5	26	Y (Y)	4	Y	Y	0.9523	0.7777	4	O	 
6	24	Y (N)	6	N	Y	0.7851	0.6666	4	O	 
7	24	Y (Y)	5	Y	Y	0.8968	0.7777	4	O	 
8	23	Y (Y)	5	N	Y	0.5476	0.8611	3	O	 
9	21	Y (Y)	6	N	Y	0.6785	1.0000	3	O	 
10	20	Y (Y)	6	N	Y	0.4325	0.8055	2	O	 
11	19	Y (Y)	6	N	Y	0.4007	0.8055	2	O	 
12	18	Y (Y)	6	N	Y	0.8333	1.0000	4	O	 
13	18	Y (Y)	6	N	Y	0.7698	1.0000	3	O	 
14	18	Y (Y)	5	N	N	0.7619	0.8333	4	O	 
15	17	Y (Y)	6	Y	Y	0.9345	1.0000	4	O	 
16	17	Y (Y)	6	Y	Y	0.8730	0.7777	4	O	 
17	16	Y (Y)	6	N	Y	0.7142	0.8888	3	O	 
18	15	N (N)	5	Y	Y	0.8968	0.8888	4	O	 
19	14	Y (N)	6	N	Y	0.5851	0.9473	3	O	 
20	14	Y (Y)	6	N	Y	0.4880	1.0000	2	O	 
21	12	Y (Y)	6	N	Y	0.4007	0.8055	2	X	 
22	12	Y (Y)	6	N	N	0.6865	0.9444	3	X	 
23	12	Y (Y)	5	N	Y	0.4325	1.0000	2	X	 
24	11	Y (Y)	6	Y	Y	0.9047	1.0000	4	X	 
25	10	Y (Y)	6	N	Y	0.4206	0.8611	2	X	 
26	9	Y (Y)	6	N	Y	0.5039	1.0000	2	X	 
27	9	Y (Y)	6	N	Y	0.3849	0.8611	2	X	 
28	8	Y (Y)	6	N	Y	0.6587	0.8333	3	X	 
29	7	Y (Y)	6	N	Y	0.4325	1.0000	2	X	 
30	7	Y (Y)	6	N	Y	0.3769	0.8611	2	X	 
31	6	Y (Y)	6	N	Y	0.5634	1.0000	3	X	 
32	6	Y (Y)	6	N	Y	0.4087	0.8611	2	X	 
33	6	Y (Y)	5	N	Y	0.2460	0.8333	2	X	 
34	5	Y (Y)	6	Y	Y	0.9444	1.0000	4	X	 
35	5	Y (Y)	6	N	Y	0.6587	0.8333	3	X	 
36	5	Y (Y)	6	N	Y	0.4563	0.9166	2	X	 
37	5	Y (Y)	6	N	Y	0.4206	1.0000	2	X	 
38	5	Y (Y)	6	N	Y	0.4206	0.9444	2	X	 
39	5	Y (Y)	6	N	Y	0.3888	0.8333	2	X	 
40	4	Y (Y)	6	N	Y	0.4444	1.0000	2	X	 
41	4	Y (Y)	6	N	Y	0.3452	0.7777	2	X	 
42	3	Y (Y)	6	N	Y	0.4444	1.0000	3	X	 
43	3	Y (Y)	6	N	Y	0.4007	0.8611	2	X	 
44	3	Y (Y)	5	N	Y	0.2936	0.9444	2	X	 
45	2	Y (Y)	6	N	Y	0.4484	1.0000	2	X	 
46	2	Y (Y)	6	N	Y	0.4325	1.0000	2	X	 
47	2	Y (Y)	5	N	Y	0.3492	0.6666	2	X	 
48	2	Y (Y)	5	N	Y	0.3095	1.0000	2	X	 
49	2	N (N)	6	N	Y	0.3968	0.8333	2	X	 
50	1	Y (Y)	6	N	Y	0.4841	0.9722	3	X	 
51	1	N (N)	3	N	Y	0.7500	0.8750	4	X	 
