Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CFS3105-01-00	아동상담	3	김태은	금4,5,6	삼206	50	61	25 (N)	0	0	0	0	O	36	1	36	10.67
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	5	N	Y	0.7123	0.9166	3	O	 
2	36	Y (N)	2	Y	Y	1.0000	0.3157	4	O	 
3	36	N (N)	6	N	Y	0.5851	0.8421	3	O	 
4	30	N (N)	6	N	Y	0.8592	0.7894	4	O	 
5	20	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
6	20	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
7	19	Y (Y)	6	N	Y	0.4484	0.9722	2	O	 
8	18	Y (N)	5	N	Y	0.7936	0.8333	4	O	 
9	18	Y (Y)	5	N	Y	0.4126	1.0000	2	O	 
10	17	Y (Y)	6	N	Y	0.6746	0.8333	3	O	 
11	16	Y (Y)	6	N	Y	0.4166	0.9722	2	O	 
12	16	Y (Y)	6	N	Y	0.4047	0.9444	2	O	 
13	16	N (N)	6	N	Y	0.8571	1.0000	4	O	 
14	15	Y (Y)	6	Y	Y	0.9444	1.0000	4	O	 
15	15	Y (Y)	6	N	Y	0.7539	1.0000	3	O	 
16	15	Y (Y)	5	Y	Y	0.9761	1.0000	4	O	 
17	15	Y (Y)	3	Y	Y	0.9603	1.0000	4	O	 
18	14	Y (Y)	6	N	Y	0.2698	0.9444	2	O	 
19	13	Y (Y)	6	N	Y	0.5277	0.9166	3	O	 
20	12	Y (Y)	6	N	Y	0.6626	0.8333	3	O	 
21	12	Y (Y)	6	N	Y	0.3849	0.8611	2	O	 
22	12	Y (Y)	6	N	Y	0.3650	0.8333	2	O	 
23	12	Y (Y)	5	N	Y	0.6825	0.8888	4	O	 
24	11	Y (Y)	6	N	Y	0.4563	1.0000	2	O	 
25	11	Y (Y)	6	N	Y	0.4404	0.9722	2	O	 
26	11	Y (Y)	6	N	Y	0.4206	0.8333	2	O	 
27	11	Y (Y)	6	N	Y	0.3968	0.8333	2	O	 
28	11	N (N)	6	N	Y	0.7857	1.0000	4	O	 
29	10	Y (Y)	6	N	Y	0.7539	1.0000	4	O	 
30	10	Y (Y)	6	N	Y	0.6587	0.9166	3	O	 
31	10	Y (Y)	6	N	Y	0.5000	0.9444	3	O	 
32	10	Y (Y)	5	Y	Y	0.9523	0.1666	4	O	 
33	10	N (N)	6	N	Y	0.4761	0.8055	3	O	 
34	9	Y (Y)	6	N	Y	0.6984	1.0000	3	O	 
35	8	Y (Y)	6	N	Y	0.6468	1.0000	3	O	 
36	8	Y (N)	5	N	Y	0.8174	1.0000	4	O	 
37	7	Y (Y)	6	N	Y	0.7222	0.8333	4	O	 
38	7	Y (Y)	6	N	Y	0.7023	0.9166	3	O	 
39	7	Y (Y)	6	N	Y	0.4801	0.8333	3	O	 
40	7	Y (Y)	6	N	Y	0.4166	0.8611	2	O	 
41	7	Y (N)	5	N	Y	0.8015	1.0000	3	O	 
42	6	Y (Y)	6	N	Y	0.6507	0.8333	3	O	 
43	5	Y (Y)	6	N	Y	0.5158	0.8333	3	O	 
44	5	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
45	5	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
46	3	Y (Y)	6	N	Y	0.8134	0.8333	4	O	 
47	3	Y (Y)	6	N	Y	0.6666	0.8333	3	O	 
48	3	Y (Y)	6	N	Y	0.4404	1.0000	2	O	 
49	3	Y (Y)	4	Y	Y	0.9047	0.6666	4	O	 
50	3	N (N)	4	Y	Y	0.9047	0.8333	4	O	 
51	2	Y (N)	6	N	Y	0.7142	0.9444	3	X	 
52	2	Y (Y)	6	N	Y	0.4563	0.8611	2	X	 
53	2	Y (Y)	6	N	Y	0.3849	0.8611	2	X	 
54	2	Y (Y)	5	N	Y	0.4087	0.8611	2	X	 
55	2	Y (Y)	5	N	Y	0.4007	0.9722	2	X	 
56	2	N (N)	6	N	Y	0.6444	0.9210	3	X	 
57	1	Y (Y)	6	Y	Y	0.8730	0.8888	4	X	 
58	1	Y (Y)	6	N	Y	0.6666	1.0000	4	X	 
59	1	Y (Y)	6	N	Y	0.4404	0.8611	2	X	 
60	1	Y (Y)	6	N	Y	0.4087	0.8611	2	X	 
61	1	Y (Y)	6	N	N	0.7619	0.9444	4	X	 
