Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CNT3115-01-00	동양의복식문화와역사	3	김지연	월7,8,수2	삼308	50	45	45 (Y)	0	0	0	0	X	36	1	22	8.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	22	Y (Y)	5	N	Y	0.6865	0.6666	3	O	 
2	20	Y (Y)	6	N	Y	0.3928	0.9722	2	O	 
3	20	N (N)	6	N	Y	0.5515	0.9166	3	O	 
4	18	N (N)	6	N	Y	0.5793	0.6111	3	O	 
5	17	N (N)	6	N	Y	0.7185	0.9444	3	O	 
6	17	N (N)	6	N	Y	0.4722	1.0000	2	O	 
7	15	Y (Y)	3	Y	Y	0.8333	0.7777	4	O	 
8	13	Y (Y)	6	N	Y	0.9027	0.8333	4	O	 
9	13	Y (Y)	4	Y	Y	0.9603	0.8333	4	O	 
10	12	Y (Y)	6	N	Y	0.6190	0.7222	4	O	 
11	12	Y (Y)	4	Y	Y	0.9126	0.6111	4	O	 
12	12	N (N)	6	N	Y	0.6222	0.9473	4	O	 
13	10	Y (Y)	6	N	Y	0.8174	1.0000	4	O	 
14	10	Y (Y)	5	N	Y	0.5515	0.8333	3	O	 
15	9	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
16	8	Y (Y)	6	N	Y	0.8174	0.8333	4	O	 
17	8	Y (Y)	6	N	Y	0.7857	1.0000	4	O	 
18	8	Y (Y)	6	N	Y	0.7380	0.8333	4	O	 
19	8	Y (Y)	6	N	Y	0.6706	1.0000	3	O	 
20	8	Y (Y)	6	N	Y	0.4285	0.9444	2	O	 
21	8	Y (Y)	5	N	Y	0.6190	0.6666	3	O	 
22	7	Y (Y)	6	N	Y	0.7380	0.9444	4	O	 
23	7	Y (Y)	6	N	Y	0.7301	0.8333	4	O	 
24	7	Y (Y)	6	N	Y	0.5476	0.8611	3	O	 
25	7	Y (Y)	6	N	Y	0.3888	0.8333	2	O	 
26	7	N (N)	6	N	Y	0.6000	0.9473	3	X	 
27	7	N (N)	6	N	Y	0.4370	0.9473	3	X	 
28	6	Y (Y)	6	N	Y	0.6142	1.0000	3	O	 
29	6	Y (Y)	5	N	Y	0.7460	0.6666	4	O	 
30	6	N (N)	6	Y	Y	0.9761	0.8333	4	X	 
31	5	Y (Y)	6	N	Y	0.6349	0.8333	3	O	 
32	5	Y (Y)	6	N	Y	0.3809	1.0000	4	O	 
33	5	Y (Y)	5	N	Y	0.9027	1.0000	4	O	 
34	5	Y (Y)	4	N	Y	0.6984	0.7777	3	O	 
35	4	Y (Y)	6	Y	Y	0.9126	0.6666	4	O	 
36	4	Y (Y)	6	N	Y	0.3650	0.8333	2	O	 
37	3	Y (Y)	6	N	Y	0.5753	0.8333	3	O	 
38	3	Y (Y)	6	N	Y	0.4087	1.0000	2	O	 
39	2	Y (Y)	6	N	Y	0.8551	0.8333	4	O	 
40	2	Y (Y)	6	N	Y	0.6507	0.8333	3	O	 
41	2	Y (Y)	4	Y	Y	0.8869	1.0000	4	O	 
42	2	Y (Y)	4	N	Y	0.8592	0.6666	4	O	 
43	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
44	1	Y (Y)	6	N	Y	0.6468	0.8055	3	O	 
45	1	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
