Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1101-01-00	테니스	1	서상훈	목5,6	테니스장(하드코트)	18	31	0 (N)	0	6	6	6	X	36	1	36	13.58
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.6315	4	O	 
2	36	N (N)	6	Y	Y	0.9185	0.9473	4	O	 
3	36	N (N)	6	N	Y	0.4722	0.8611	2	O	 
4	36	N (N)	5	Y	Y	0.9285	0.9473	4	O	 
5	36	N (N)	4	N	Y	0.7285	0.8421	4	O	 
6	35	N (N)	6	Y	N	1.0000	0.3684	4	O	 
7	30	N (N)	5	Y	Y	0.9071	0.7894	4	O	 
8	26	N (N)	6	N	Y	0.4037	0.9736	2	O	 
9	20	N (N)	6	Y	Y	0.8857	1.0000	4	X	 
10	20	N (N)	6	N	Y	0.3481	0.7894	2	O	 
11	18	N (N)	6	N	Y	0.4555	1.0000	2	O	 
12	15	N (N)	6	N	Y	0.8785	0.9473	4	X	 
13	15	N (N)	6	N	Y	0.3642	1.0000	3	O	 
14	14	N (N)	6	Y	Y	0.9761	0.8333	4	X	 
15	13	N (N)	6	N	Y	0.4880	1.0000	2	O	 
16	11	N (N)	6	N	Y	0.5357	0.8421	3	O	 
17	6	N (N)	6	N	Y	0.9000	1.0000	4	X	 
18	4	N (N)	6	N	Y	0.6904	0.9444	4	X	 
19	2	N (N)	6	N	Y	0.4142	0.9473	2	O	 
20	1	N (N)	6	Y	Y	1.0000	0.6666	4	X	 
21	1	N (N)	6	Y	Y	1.0000	0.6666	4	X	 
22	1	N (N)	6	Y	Y	1.0000	0.5000	4	X	 
23	1	N (N)	6	Y	Y	1.0000	0.4736	4	X	 
24	1	N (N)	6	Y	Y	1.0000	0.3333	4	X	 
25	1	N (N)	6	Y	Y	0.9851	0.9473	4	X	 
26	1	N (N)	6	Y	Y	0.9714	0.9473	4	X	 
27	1	N (N)	6	Y	Y	0.9555	0.9473	4	X	 
28	1	N (N)	6	Y	Y	0.9357	1.0000	4	X	 
29	1	N (N)	6	N	Y	0.8223	0.6041	2	X	 
30	1	N (N)	6	N	Y	0.5634	1.0000	3	O	 
31	1	N (N)	6	N	Y	0.5198	1.0000	3	O	 
