Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1103-04-00	수영	1	강태규	화3,4	수영장(신촌)	23	26	0 (N)	0	7	8	8	X	36	1	36	13.35
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	0.9603	1.0000	4	O	 
2	32	N (N)	6	Y	Y	1.0000	0.6666	4	O	 
3	28	N (N)	4	N	Y	0.6212	0.7894	3	O	 
4	27	N (N)	6	Y	Y	0.9578	0.7894	5	O	 
5	26	N (N)	6	N	Y	0.7111	1.0000	3	O	 
6	25	N (N)	6	Y	N	0.9841	1.0000	4	O	 
7	24	N (N)	6	Y	Y	0.9071	0.8421	4	O	 
8	24	N (N)	6	Y	Y	0.8642	0.9473	4	O	 
9	21	N (N)	6	Y	Y	0.8928	1.0000	4	O	 
10	18	N (N)	6	Y	Y	0.9047	0.8888	4	O	 
11	18	N (N)	3	Y	Y	1.0000	0.7222	4	X	 
12	16	N (N)	6	N	Y	0.3296	0.8157	2	O	 
13	11	N (N)	6	Y	Y	0.8666	1.0000	4	X	 
14	11	N (N)	6	N	Y	0.6074	0.7894	3	O	 
15	5	N (N)	6	N	Y	0.9642	0.9473	4	X	 
16	5	N (N)	6	N	Y	0.6285	0.9473	3	O	 
17	3	N (N)	6	Y	Y	0.8428	0.9473	4	X	 
18	3	N (N)	6	N	Y	0.6357	1.0000	3	O	 
19	3	N (N)	6	N	Y	0.5642	0.7894	3	O	 
20	3	N (N)	5	N	Y	0.5476	1.0000	3	O	 
21	2	N (N)	6	N	Y	0.7777	1.0000	4	X	 
22	2	N (N)	6	N	Y	0.7571	0.9473	4	X	 
23	1	N (N)	6	Y	Y	1.0000	0.7777	4	X	 
24	1	N (N)	6	Y	Y	0.9761	0.6666	4	X	 
25	1	N (N)	6	N	Y	0.9535	0.8947	4	X	 
26	1	N (N)	5	Y	Y	0.8968	0.8888	4	X	 
