Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1109-02-00	체력육성	1	김진선	화5,6	스포츠(휘트니스센터)	27	73	0 (N)	0	9	9	9	X	36	1	36	20.71
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.6666	4	O	 
2	36	N (N)	6	Y	Y	0.9523	1.0000	4	O	 
3	36	N (N)	6	Y	Y	0.9357	0.7894	4	O	 
4	36	N (N)	6	Y	Y	0.9206	0.8333	4	O	 
5	36	N (N)	6	Y	Y	0.8814	0.9473	4	O	 
6	36	N (N)	6	N	Y	0.9841	1.0000	4	O	 
7	36	N (N)	6	N	Y	0.8142	0.7894	4	O	 
8	36	N (N)	6	N	Y	0.7928	0.9473	4	O	 
9	36	N (N)	6	N	Y	0.7777	0.7894	4	O	 
10	36	N (N)	6	N	Y	0.7714	1.0000	4	X	 
11	36	N (N)	6	N	Y	0.6592	0.7894	3	O	 
12	36	N (N)	5	Y	Y	1.0000	0.3333	4	X	 
13	36	N (N)	5	Y	Y	0.9682	0.5000	4	X	 
14	36	N (N)	5	Y	Y	0.9357	1.0000	4	X	 
15	36	N (N)	5	Y	Y	0.9126	1.0000	4	X	 
16	36	N (N)	5	N	Y	0.8428	0.8421	4	X	 
17	36	N (N)	5	N	Y	0.6750	0.9473	3	O	 
18	36	N (N)	5	N	Y	0.5857	0.9473	3	O	 
19	36	N (N)	1	Y	Y	1.0000	0.3157	4	X	 
20	36	N (N)	1	N	Y	1.0000	0.0000	4	X	 
21	35	N (N)	4	N	Y	0.9481	0.6315	4	X	 
22	35	N (N)	2	N	Y	1.0000	0.8421	4	X	 
23	34	N (N)	6	Y	Y	0.8888	1.0000	4	X	 
24	32	N (N)	6	Y	Y	0.9523	0.3333	4	X	 
25	31	N (N)	6	Y	Y	0.8650	0.7619	4	X	 
26	31	N (N)	6	N	Y	0.8518	0.6842	4	X	 
27	30	N (N)	6	Y	Y	1.0000	0.8333	4	X	 
28	30	N (N)	6	Y	Y	0.9841	0.5000	4	X	 
29	29	N (N)	6	Y	Y	1.0000	0.5000	4	X	 
30	25	N (N)	6	N	Y	0.6642	0.9473	3	O	 
31	24	N (N)	6	N	Y	0.4000	1.0000	2	O	 
32	24	N (N)	4	Y	Y	0.9444	1.0000	4	X	 
33	23	N (N)	6	Y	Y	1.0000	0.3333	4	X	 
34	23	N (N)	6	N	Y	0.4166	0.9210	2	O	 
35	21	N (N)	6	Y	Y	1.0000	0.7777	4	X	 
36	21	N (N)	6	N	Y	0.6587	0.9166	3	O	 
37	21	N (N)	6	N	Y	0.4000	1.0000	2	O	 
38	20	N (N)	6	Y	Y	1.0000	0.8947	4	X	 
39	20	N (N)	6	Y	Y	1.0000	0.1666	4	X	 
40	20	N (N)	6	Y	Y	0.8785	0.3157	4	X	 
41	20	N (N)	4	Y	Y	1.0000	0.5000	4	X	 
42	19	N (N)	6	Y	Y	0.8928	0.7368	4	X	 
43	19	N (N)	6	N	Y	0.3253	1.0000	2	O	 
44	18	N (N)	6	N	Y	0.4178	0.8684	2	O	 
45	17	N (N)	6	N	Y	0.5555	0.9473	3	O	 
46	16	N (N)	6	Y	Y	0.9523	0.8333	4	X	 
47	16	N (N)	6	N	Y	0.6857	0.9473	3	O	 
48	16	N (N)	6	N	Y	0.4962	0.9736	3	O	 
49	15	N (N)	6	N	Y	0.9000	1.0000	4	X	 
50	14	N (N)	6	N	Y	0.4722	1.0000	2	O	 
51	13	N (N)	6	N	Y	0.9285	0.8421	4	X	 
52	12	N (N)	6	N	Y	0.3481	0.7894	2	O	 
53	11	N (N)	6	N	Y	0.6507	0.8888	3	O	 
54	10	N (N)	6	N	Y	0.4035	0.8684	2	O	 
55	10	N (N)	6	N	Y	0.3357	0.9473	2	X	 
56	7	N (N)	6	N	Y	0.8412	0.8333	4	X	 
57	5	N (N)	6	N	Y	0.4126	1.0000	2	X	 
58	4	N (N)	6	N	Y	0.8571	0.9473	4	X	 
59	3	N (N)	6	N	Y	0.6865	0.9444	3	X	 
60	2	N (N)	6	N	Y	0.7777	0.6666	4	X	 
61	1	N (N)	6	Y	Y	1.0000	1.0000	4	X	 
62	1	N (N)	6	Y	Y	1.0000	0.8333	4	X	 
63	1	N (N)	6	Y	Y	1.0000	0.7777	4	X	 
64	1	N (N)	6	Y	Y	1.0000	0.6315	4	X	 
65	1	N (N)	6	Y	Y	1.0000	0.6315	4	X	 
66	1	N (N)	6	Y	Y	1.0000	0.6315	4	X	 
67	1	N (N)	6	Y	Y	0.9841	0.6666	4	X	 
68	1	N (N)	6	Y	Y	0.9571	1.0000	4	X	 
69	1	N (N)	6	Y	Y	0.9214	0.9473	4	X	 
70	1	N (N)	6	N	Y	0.9785	0.0000	4	X	 
71	1	N (N)	6	N	Y	0.3888	0.9210	2	X	 
72	1	N (N)	5	Y	Y	1.0000	0.0555	4	X	 
0	4	N (N)	6	N	Y	0.3444	0.7105	2	O	* 
