Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCK1104-02-00	독일문화와예술	3	김성현	화2,3,목1	외02	126	84	0 (N)	0	42	42	42	X	36	1	36	6.39
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	5	N	Y	0.6825	0.8888	4	O	 
2	36	N (N)	3	Y	Y	0.9523	0.8333	4	O	 
3	32	N (N)	5	N	Y	0.4407	0.9210	2	O	 
4	24	N (N)	6	N	Y	0.8074	0.8333	4	O	 
5	21	N (N)	6	Y	Y	0.8740	0.9473	4	O	 
6	21	N (N)	6	N	Y	0.3968	0.8333	2	O	 
7	20	N (N)	6	Y	Y	0.8642	0.7894	4	O	 
8	18	N (N)	4	Y	Y	1.0000	0.6666	4	O	 
9	16	N (N)	6	Y	Y	0.8814	0.9473	4	O	 
10	14	N (N)	6	N	Y	0.4087	0.8611	2	O	 
11	12	N (N)	6	N	Y	0.4407	1.0000	2	O	 
12	10	N (N)	6	N	Y	0.8253	0.8333	4	O	 
13	10	N (N)	6	N	Y	0.4484	0.9166	2	O	 
14	10	N (N)	6	N	Y	0.4087	1.0000	2	O	 
15	10	N (N)	6	N	Y	0.4037	0.8157	2	O	 
16	10	N (N)	6	N	Y	0.3769	0.6944	2	O	 
17	10	N (N)	5	Y	Y	0.9857	0.6315	4	O	 
18	9	N (N)	6	Y	Y	0.8740	0.9473	4	O	 
19	9	N (N)	6	Y	Y	0.8714	0.9473	4	O	 
20	9	N (N)	6	N	Y	0.4007	0.8611	2	O	 
21	8	N (N)	6	N	Y	0.3555	0.6315	2	O	 
22	8	N (N)	6	N	Y	0.2666	0.7368	2	O	 
23	7	N (N)	6	N	Y	0.8285	1.0000	4	O	 
24	7	N (N)	6	N	Y	0.4563	0.6944	2	O	 
25	7	N (N)	6	N	Y	0.3703	0.7368	2	O	 
26	7	N (N)	5	N	Y	0.9265	0.8333	4	O	 
27	6	N (N)	6	N	Y	0.8015	0.8333	4	O	 
28	6	N (N)	6	N	Y	0.4000	0.9473	2	O	 
29	6	N (N)	5	Y	Y	0.9071	0.9473	4	O	 
30	6	N (N)	5	Y	Y	0.8968	0.8333	4	O	 
31	5	N (N)	6	Y	Y	0.8785	0.9473	4	O	 
32	5	N (N)	6	Y	Y	0.8296	0.7894	4	O	 
33	5	N (N)	6	N	Y	0.6746	0.8888	3	O	 
34	5	N (N)	6	N	Y	0.6666	0.9444	3	O	 
35	5	N (N)	6	N	Y	0.5785	0.8421	3	O	 
36	5	N (N)	6	N	Y	0.4206	0.8611	2	O	 
37	5	N (N)	6	N	Y	0.4166	1.0000	2	O	 
38	5	N (N)	6	N	Y	0.4007	0.8611	2	O	 
39	5	N (N)	6	N	Y	0.3888	0.8333	2	O	 
40	5	N (N)	6	N	Y	0.2666	0.6842	2	O	 
41	5	N (N)	5	N	Y	0.4722	1.0000	2	O	 
42	4	N (N)	6	N	Y	0.4325	1.0000	2	O	 
43	4	N (N)	6	N	Y	0.4206	0.9444	2	O	 
44	4	N (N)	6	N	Y	0.3968	0.6666	2	O	 
45	4	N (N)	6	N	Y	0.2619	0.8888	2	O	 
46	3	N (N)	6	N	Y	0.7785	0.9473	4	O	 
47	3	N (N)	6	N	Y	0.4365	1.0000	3	O	 
48	3	N (N)	6	N	Y	0.4166	1.0000	2	O	 
49	3	N (N)	6	N	Y	0.4007	0.9722	2	O	 
50	3	N (N)	6	N	Y	0.3849	0.8333	2	O	 
51	3	N (N)	6	N	Y	0.3555	0.6315	2	O	 
52	2	N (N)	6	Y	Y	0.9000	1.0000	4	O	 
53	2	N (N)	6	Y	Y	0.8928	0.7368	4	O	 
54	2	N (N)	6	N	Y	0.6428	0.8333	3	O	 
55	2	N (N)	6	N	Y	0.5444	0.7894	3	O	 
56	2	N (N)	6	N	Y	0.4404	0.9722	2	O	 
57	2	N (N)	6	N	Y	0.4325	0.8611	2	O	 
58	2	N (N)	6	N	Y	0.4206	1.0000	2	O	 
59	2	N (N)	6	N	Y	0.4185	0.9736	2	O	 
60	2	N (N)	5	N	Y	0.4841	0.8888	3	O	 
61	2	N (N)	5	N	Y	0.4087	1.0000	2	O	 
62	1	N (N)	6	Y	Y	1.0000	0.7894	4	O	 
63	1	N (N)	6	Y	Y	1.0000	0.4736	4	O	 
64	1	N (N)	6	Y	Y	1.0000	0.3157	4	O	 
65	1	N (N)	6	Y	Y	1.0000	0.0555	4	O	 
66	1	N (N)	6	Y	Y	0.9523	1.0000	4	O	 
67	1	N (N)	6	N	Y	0.7857	1.0000	4	O	 
68	1	N (N)	6	N	Y	0.7777	0.8333	4	O	 
69	1	N (N)	6	N	Y	0.7380	0.6666	4	O	 
70	1	N (N)	6	N	Y	0.6746	1.0000	3	O	 
71	1	N (N)	6	N	Y	0.6518	0.9473	4	O	 
72	1	N (N)	6	N	Y	0.6509	0.7631	3	O	 
73	1	N (N)	6	N	Y	0.6428	0.8333	4	O	 
74	1	N (N)	6	N	Y	0.5198	1.0000	2	O	 
75	1	N (N)	6	N	Y	0.4722	1.0000	2	O	 
76	1	N (N)	6	N	Y	0.4325	1.0000	2	O	 
77	1	N (N)	6	N	Y	0.4259	0.9736	2	O	 
78	1	N (N)	6	N	Y	0.4087	1.0000	2	O	 
79	1	N (N)	6	N	Y	0.2666	0.9473	2	O	 
80	1	N (N)	6	N	N	0.4285	1.0000	2	O	 
81	1	N (N)	5	Y	Y	0.8962	0.6315	4	O	 
82	1	N (N)	5	Y	Y	0.8785	0.7894	4	O	 
83	1	N (N)	5	N	Y	0.4166	0.8611	2	O	 
84	1	N (N)	5	N	Y	0.3592	0.7631	2	O	 
