Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCK1111-01-00	BUILDING FLUENCY IN SPEAKING(ADV)	3	황짐	월5,6,수6	백S503	17	30	17 (N)	0	0	0	0	O	36	1	36	11.73
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.5111	1.0000	3	O	 
2	24	Y (Y)	6	N	Y	0.3412	0.8888	2	O	 
3	22	Y (Y)	3	N	Y	1.0000	0.3157	4	O	 
4	20	Y (Y)	3	N	Y	0.7500	0.8750	4	O	 
5	18	Y (Y)	6	N	Y	0.2666	0.7368	2	O	 
6	17	Y (Y)	6	Y	Y	1.0000	0.8333	4	O	 
7	16	Y (Y)	6	N	Y	0.6984	1.0000	3	O	 
8	16	Y (Y)	6	N	Y	0.3888	0.8333	2	O	 
9	15	Y (Y)	6	N	Y	0.7111	0.8421	4	O	 
10	15	Y (Y)	6	N	Y	0.6408	0.9722	3	O	 
11	13	Y (Y)	6	Y	Y	0.8928	0.7894	4	O	 
12	13	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
13	12	Y (Y)	6	N	Y	0.4370	0.6315	3	O	 
14	12	Y (Y)	6	N	Y	0.4285	0.8333	2	O	 
15	12	Y (Y)	6	N	Y	0.3968	1.0000	2	O	 
16	12	Y (Y)	6	N	Y	0.3611	0.8611	2	O	 
17	12	Y (Y)	6	N	Y	0.2698	0.8333	2	O	 
18	11	Y (Y)	5	N	Y	0.2579	0.6388	2	X	 
19	9	Y (Y)	6	N	Y	1.0000	1.0000	4	X	 
20	8	Y (Y)	6	N	Y	0.4111	0.9736	2	X	 
21	8	Y (Y)	6	N	Y	0.2857	1.0000	2	X	 
22	7	Y (Y)	6	N	Y	0.9047	0.8333	4	X	 
23	7	Y (Y)	6	N	Y	0.3809	0.7222	2	X	 
24	6	Y (Y)	6	N	Y	0.3962	0.6578	2	X	 
25	5	Y (Y)	6	N	Y	0.3571	0.8611	2	X	 
26	2	Y (Y)	6	N	Y	0.4166	0.8611	2	X	 
27	1	Y (Y)	6	Y	Y	1.0000	0.5000	4	X	 
28	1	Y (Y)	6	Y	Y	0.9857	0.3157	4	X	 
29	1	Y (Y)	6	N	Y	1.0000	0.1578	4	X	 
30	1	Y (Y)	6	N	Y	0.4325	0.9722	2	X	 
