Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCJ1137-01-00	그리스·로마고전집중탐구	3	김상근			1000	317	0 (N)	0	0	0	0	O	36	1	36	8.87
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
2	36	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
3	36	N (N)	6	Y	Y	0.9682	0.8333	4	O	 
4	36	N (N)	6	Y	Y	0.8857	0.9473	4	O	 
5	36	N (N)	6	N	Y	0.7857	0.7777	4	O	 
6	36	N (N)	6	N	Y	0.6214	1.0000	3	O	 
7	36	N (N)	6	N	Y	0.5198	0.8333	3	O	 
8	36	N (N)	6	N	Y	0.4259	0.9736	2	O	 
9	36	N (N)	6	N	Y	0.3571	0.6315	2	O	 
10	36	N (N)	6	N	Y	0.2444	0.6842	2	O	 
11	36	N (N)	4	Y	Y	1.0000	1.0000	4	O	 
12	36	N (N)	4	Y	Y	0.9111	0.8421	4	O	 
13	36	N (N)	4	N	Y	0.7698	1.0000	4	O	 
14	36	N (N)	3	Y	Y	1.0000	0.6842	4	O	 
15	36	N (N)	3	Y	Y	0.9841	1.0000	4	O	 
16	36	N (N)	3	Y	Y	0.9523	1.0000	4	O	 
17	36	N (N)	2	Y	Y	0.9761	0.5000	4	O	 
18	36	N (N)	2	Y	Y	0.9603	0.0555	4	O	 
19	36	N (N)	2	Y	Y	0.9555	0.6315	4	O	 
20	36	N (N)	2	Y	Y	0.9523	1.0000	4	O	 
21	36	N (N)	2	N	Y	0.9333	0.6315	4	O	 
22	36	N (N)	1	Y	Y	1.0000	0.1666	4	O	 
23	36	N (N)	1	Y	Y	0.9920	1.0000	4	O	 
24	36	N (N)	1	Y	Y	0.9777	0.8947	4	O	 
25	36	N (N)	1	Y	Y	0.9761	1.0000	4	O	 
26	36	N (N)	1	Y	Y	0.9761	0.4444	4	O	 
27	36	N (N)	1	Y	Y	0.9047	0.8333	4	O	 
28	35	N (N)	5	Y	Y	1.0000	0.6315	4	O	 
29	35	N (N)	5	Y	Y	0.8333	0.8333	4	O	 
30	35	N (N)	4	N	Y	0.9259	0.9473	4	O	 
31	35	N (N)	3	Y	Y	0.8785	0.9473	4	O	 
32	35	N (N)	2	Y	Y	0.9603	0.7222	4	O	 
33	35	N (N)	2	N	Y	0.9206	0.8333	4	O	 
34	33	N (N)	6	Y	Y	0.8714	0.9473	4	O	 
35	33	N (N)	4	Y	Y	0.9126	1.0000	4	O	 
36	32	N (N)	3	Y	Y	0.9285	1.0000	4	O	 
37	30	N (N)	6	N	Y	0.6746	1.0000	3	O	 
38	30	N (N)	6	N	Y	0.4037	0.8157	2	O	 
39	30	N (N)	5	Y	Y	1.0000	1.0000	4	O	 
40	30	N (N)	3	Y	Y	1.0000	0.7894	4	O	 
41	30	N (N)	3	Y	Y	0.8740	0.9473	4	O	 
42	29	N (N)	6	N	Y	0.7629	0.6315	4	O	 
43	28	N (N)	3	N	Y	1.0000	0.7368	4	O	 
44	27	N (N)	4	Y	Y	1.0000	0.6666	4	O	 
45	26	N (N)	5	Y	Y	0.8857	0.7894	4	O	 
46	25	N (N)	6	N	Y	0.6587	0.9473	3	O	 
47	24	N (N)	6	N	Y	0.8253	0.8333	4	O	 
48	24	N (N)	4	N	Y	0.8730	0.8333	3	O	 
