Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
YCA1006-02-00	채플(B)	.5	정용한	화3	I종301	646	47	500 (N)	600	40	6	0	O	36	1	36	2.38
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.3928	0.7708	2	O	 
2	10	Y (Y)	6	N	Y	0.4126	1.0000	2	O	 
3	6	Y (Y)	6	N	Y	0.1309	0.0000	2	O	 
4	5	Y (Y)	6	N	Y	0.6230	0.9736	2	O	 
5	5	Y (Y)	6	N	Y	0.5158	1.0000	3	O	 
6	4	Y (Y)	6	N	Y	0.4563	1.0000	2	O	 
7	3	Y (Y)	5	N	Y	0.7341	1.0000	3	O	 
8	2	Y (Y)	6	N	Y	0.4801	0.9444	2	O	 
9	2	Y (Y)	6	N	Y	0.4246	0.8157	2	O	 
10	1	Y (Y)	6	N	Y	0.4801	1.0000	2	O	 
11	1	Y (Y)	6	N	Y	0.4722	1.0000	2	O	 
12	1	Y (Y)	6	N	Y	0.4563	0.6666	3	O	 
13	1	Y (Y)	6	N	Y	0.4404	0.9736	2	O	 
14	1	Y (Y)	6	N	Y	0.4404	0.9166	2	O	 
15	1	Y (Y)	6	N	Y	0.4246	0.9736	2	O	 
16	1	Y (Y)	6	N	Y	0.4246	0.8684	2	O	 
17	1	Y (Y)	6	N	Y	0.4246	0.8611	2	O	 
18	1	Y (Y)	6	N	Y	0.4246	0.8611	2	O	 
19	1	Y (Y)	6	N	Y	0.4246	0.8157	2	O	 
20	1	Y (Y)	6	N	Y	0.4087	0.8684	2	O	 
21	1	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
22	1	Y (Y)	6	N	Y	0.4047	0.8684	2	O	 
23	1	Y (Y)	6	N	Y	0.4047	0.7222	2	O	 
24	1	Y (Y)	6	N	Y	0.4047	0.3157	3	O	 
25	1	Y (Y)	6	N	Y	0.4007	0.9166	2	O	 
26	1	Y (Y)	6	N	Y	0.3968	0.9444	2	O	 
27	1	Y (Y)	6	N	Y	0.3769	0.8611	2	O	 
28	1	Y (Y)	6	N	Y	0.3730	1.0000	2	O	 
29	1	Y (Y)	6	N	Y	0.3690	0.8611	2	O	 
30	1	Y (Y)	6	N	Y	0.3452	0.8333	2	O	 
31	1	Y (Y)	6	N	Y	0.3015	0.6578	2	O	 
32	1	Y (Y)	6	N	Y	0.2896	1.0000	2	O	 
33	1	Y (Y)	6	N	Y	0.2777	0.9444	2	O	 
34	1	Y (Y)	6	N	Y	0.2698	0.8888	2	O	 
35	1	Y (Y)	6	N	Y	0.2539	0.7777	2	O	 
36	1	Y (Y)	6	N	Y	0.2460	0.7222	2	O	 
37	1	Y (Y)	6	N	Y	0.2420	0.9444	2	O	 
38	1	Y (Y)	6	N	Y	0.1904	0.3333	2	O	 
39	1	Y (Y)	5	N	Y	0.6230	0.8611	3	O	 
40	1	Y (Y)	5	N	Y	0.5039	0.8684	2	O	 
41	1	Y (Y)	5	N	Y	0.4246	0.8157	2	O	 
42	1	Y (Y)	5	N	Y	0.4087	0.9210	2	O	 
43	1	Y (Y)	5	N	Y	0.2777	0.9444	2	O	 
44	1	Y (Y)	5	N	Y	0.2539	0.7222	2	O	 
45	1	Y (Y)	4	N	Y	0.4484	0.9736	2	O	 
46	1	Y (Y)	4	N	Y	0.2698	1.0000	2	X	 
0	2	N (N)	2	N	Y	0.1481	1.0000	1	O	* 
