Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ECO3114-01-00	후생경제학	3	김세민	수7,금7,8	상본101	63	166	32 (N)	0	6	22	35	O	12	1	12	10.19
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	Y	Y	1.0000	0.6666	4	O	 
2	12	Y (Y)	6	Y	Y	1.0000	0.6315	4	O	 
3	12	Y (Y)	6	Y	Y	0.9365	0.8333	4	O	 
4	12	Y (Y)	6	Y	Y	0.9285	1.0000	4	O	 
5	12	Y (Y)	6	Y	Y	0.9285	0.8888	4	O	 
6	12	Y (Y)	6	Y	Y	0.8968	0.8333	4	O	 
7	12	Y (Y)	6	Y	Y	0.8730	1.0000	4	O	 
8	12	Y (N)	6	Y	Y	0.8492	0.8333	4	O	 
9	12	Y (N)	6	Y	Y	0.8148	0.7894	4	O	 
10	12	Y (Y)	6	Y	Y	0.7698	0.8333	4	O	 
11	12	Y (Y)	6	N	Y	1.0000	0.6666	4	O	 
12	12	Y (Y)	6	N	Y	1.0000	0.5000	4	O	 
13	12	Y (Y)	6	N	Y	0.9523	0.5555	4	O	 
14	12	Y (Y)	6	N	Y	0.8650	1.0000	4	O	 
15	12	Y (Y)	6	N	Y	0.8412	0.8333	4	O	 
16	12	Y (Y)	6	N	Y	0.8253	1.0000	4	O	 
17	12	Y (N)	6	N	Y	0.8174	0.8333	4	O	 
18	12	Y (Y)	6	N	Y	0.8015	0.8333	4	O	 
19	12	Y (Y)	6	N	Y	0.8015	0.8333	4	O	 
20	12	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
21	12	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
22	12	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
23	12	Y (Y)	6	N	Y	0.7777	0.8333	4	O	 
24	12	Y (Y)	6	N	Y	0.7777	0.7222	4	O	 
25	12	Y (Y)	6	N	Y	0.7698	1.0000	4	X	 
26	12	Y (Y)	6	N	Y	0.7698	0.6666	4	X	 
27	12	Y (N)	6	N	Y	0.7629	0.7894	4	X	 
28	12	Y (N)	6	N	Y	0.7619	1.0000	3	O	 
29	12	Y (Y)	6	N	Y	0.7500	0.8750	4	X	 
30	12	Y (Y)	6	N	Y	0.7460	1.0000	4	X	 
31	12	Y (Y)	6	N	Y	0.7380	0.9444	3	O	 
32	12	Y (Y)	6	N	Y	0.7380	0.6666	4	X	 
33	12	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
34	12	Y (Y)	6	N	Y	0.7142	0.9444	3	O	 
35	12	Y (Y)	6	N	Y	0.7142	0.8611	3	O	 
36	12	Y (Y)	6	N	Y	0.7142	0.8333	3	O	 
37	12	Y (Y)	6	N	Y	0.6904	0.8333	3	O	 
38	12	Y (Y)	6	N	Y	0.6904	0.8333	4	X	 
39	12	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
40	12	Y (Y)	6	N	Y	0.6825	0.9444	3	O	 
41	12	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
42	12	Y (Y)	6	N	Y	0.6746	0.9722	3	X	 
43	12	Y (Y)	6	N	Y	0.6746	0.8333	3	X	 
44	12	Y (Y)	6	N	Y	0.6706	1.0000	3	X	 
45	12	Y (Y)	6	N	Y	0.6706	1.0000	3	X	 
46	12	Y (Y)	6	N	Y	0.6666	1.0000	3	X	 
47	12	Y (Y)	6	N	Y	0.6666	1.0000	3	X	 
48	12	Y (Y)	6	N	Y	0.6666	1.0000	3	X	 
49	12	Y (Y)	6	N	Y	0.6666	1.0000	3	X	 
50	12	Y (Y)	6	N	Y	0.6666	0.8611	3	X	 
51	12	Y (Y)	6	N	Y	0.6587	0.8888	3	X	 
52	12	Y (Y)	6	N	Y	0.6587	0.6666	4	X	 
53	12	Y (Y)	6	N	Y	0.6507	1.0000	3	X	 
54	12	Y (Y)	6	N	Y	0.6507	0.8333	3	X	 
55	12	Y (Y)	6	N	Y	0.6468	1.0000	3	X	 
