Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DAA2130-01-00	화공수학	3	이강택	화5,6,목5(목6)	공D403(공D403)	50	61	0 (Y)	0	0	0	0	O	36	1	25	8.02
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	25	Y (Y)	4	N	Y	0.7142	0.8421	4	O	 
2	25	Y (Y)	3	Y	N	1.0000	0.9473	4	O	 
3	20	Y (Y)	6	N	Y	0.6428	0.9473	3	O	 
4	20	Y (Y)	6	N	N	0.8714	0.9473	4	O	 
5	20	Y (Y)	3	Y	Y	0.9357	0.9473	4	O	 
6	16	Y (Y)	5	Y	Y	0.8857	1.0000	4	O	 
7	16	Y (Y)	5	N	Y	0.7285	0.8947	3	O	 
8	15	Y (Y)	6	N	Y	0.9214	0.8947	4	O	 
9	15	Y (Y)	6	N	Y	0.6500	0.9473	4	O	 
10	14	Y (Y)	6	N	Y	0.6285	1.0000	3	O	 
11	14	Y (Y)	6	N	Y	0.5785	0.8421	3	O	 
12	13	Y (Y)	6	N	Y	0.6714	1.0000	3	O	 
13	13	Y (Y)	6	N	Y	0.6500	0.7894	3	O	 
14	12	Y (Y)	6	N	Y	0.6785	0.8421	3	O	 
15	12	Y (Y)	5	Y	Y	0.9428	0.9473	4	O	 
16	10	Y (Y)	6	N	Y	0.8857	0.8421	4	O	 
17	10	Y (Y)	6	N	Y	0.7714	0.7894	4	O	 
18	10	Y (Y)	6	N	Y	0.7285	0.9473	4	O	 
19	10	Y (Y)	6	N	Y	0.6928	0.9736	3	O	 
20	9	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
21	9	Y (Y)	6	N	Y	0.6285	1.0000	3	O	 
22	8	Y (Y)	6	N	Y	0.7000	0.9473	4	O	 
23	8	Y (Y)	6	N	Y	0.6928	1.0000	3	O	 
24	8	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
25	8	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
26	7	Y (Y)	6	N	Y	0.7714	0.9473	4	O	 
27	7	Y (Y)	6	N	Y	0.6892	0.8947	3	O	 
28	7	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
29	7	Y (Y)	6	N	Y	0.6571	0.9473	3	O	 
30	7	Y (Y)	6	N	Y	0.6000	1.0000	3	O	 
31	6	Y (Y)	6	N	Y	0.6928	1.0000	3	O	 
32	6	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
33	6	Y (Y)	6	N	Y	0.6357	0.8421	3	O	 
34	6	Y (Y)	6	N	Y	0.5857	0.9473	3	O	 
35	5	Y (Y)	6	Y	Y	0.9047	0.7894	4	O	 
36	5	Y (Y)	6	N	Y	0.8357	0.9473	4	O	 
37	5	Y (Y)	6	N	Y	0.6785	1.0000	3	O	 
38	5	Y (Y)	6	N	Y	0.6642	0.9473	3	O	 
39	5	Y (Y)	6	N	Y	0.6571	1.0000	3	O	 
40	5	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
41	5	Y (Y)	6	N	Y	0.6357	0.9473	3	O	 
42	5	Y (Y)	6	N	Y	0.6142	0.9473	3	O	 
43	5	Y (Y)	6	N	Y	0.4642	0.6315	3	O	 
44	5	Y (Y)	5	N	Y	0.8285	0.9473	4	O	 
45	4	Y (Y)	6	N	Y	1.0000	0.7894	4	O	 
46	4	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
47	3	Y (Y)	6	N	Y	0.8714	1.0000	4	O	 
48	3	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
49	3	Y (Y)	6	N	Y	0.6857	0.9473	3	O	 
50	3	Y (Y)	6	N	Y	0.6714	0.8421	3	O	 
51	3	Y (Y)	6	N	Y	0.6571	0.9473	3	X	 
52	3	Y (Y)	6	N	Y	0.6428	0.9473	3	X	 
53	3	Y (Y)	6	N	Y	0.6285	0.9473	3	X	 
54	2	Y (Y)	6	N	Y	0.6714	0.9473	3	X	 
55	2	Y (Y)	6	N	Y	0.6571	1.0000	3	X	 
56	2	Y (Y)	6	N	Y	0.6071	0.9473	4	X	 
57	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
58	1	Y (Y)	6	N	Y	0.6642	0.9473	3	X	 
59	1	Y (Y)	6	N	Y	0.6357	1.0000	3	X	 
60	1	Y (Y)	6	N	Y	0.4642	1.0000	3	X	 
61	1	Y (Y)	5	N	Y	0.6857	0.7894	3	X	 
