Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ECO3104-01-00	계량경제학(1)	3	김태환	월3,4,수4	상본110	50	93	25 (N)	0	5	18	27	O	12	1	12	10.71
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (N)	6	Y	Y	1.0000	0.8333	4	O	 
2	12	Y (N)	6	Y	Y	1.0000	0.8333	4	O	 
3	12	Y (Y)	6	Y	Y	1.0000	0.6666	4	O	 
4	12	Y (N)	6	Y	Y	0.9444	1.0000	4	O	 
5	12	Y (Y)	6	Y	Y	0.9365	0.3888	4	O	 
6	12	Y (N)	6	Y	Y	0.9126	1.0000	4	O	 
7	12	Y (N)	6	Y	Y	0.8888	0.6666	4	O	 
8	12	Y (Y)	6	Y	Y	0.8571	0.6666	4	O	 
9	12	Y (Y)	6	Y	N	0.9682	0.3333	4	O	 
10	12	Y (Y)	6	Y	N	0.8888	0.8333	4	O	 
11	12	Y (Y)	6	N	Y	0.9841	0.8333	4	O	 
12	12	Y (N)	6	N	Y	0.9259	0.9473	4	O	 
13	12	Y (Y)	6	N	Y	0.8968	0.8888	4	O	 
14	12	Y (Y)	6	N	Y	0.8730	0.6666	4	O	 
15	12	Y (Y)	6	N	Y	0.8333	0.8888	4	O	 
16	12	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
17	12	Y (N)	6	N	Y	0.7629	0.9473	4	O	 
18	12	Y (Y)	6	N	Y	0.7500	0.8750	4	O	 
19	12	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
20	12	Y (Y)	6	N	Y	0.7222	1.0000	3	O	 
21	12	Y (Y)	6	N	Y	0.7222	0.8333	3	O	 
22	12	Y (Y)	6	N	Y	0.6984	1.0000	3	O	 
