Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CTM2012-01-00	STRATEGIC MARKETING IN CREATIVE INDUSTRY	3	천은영	수2,3,4	I진B201	18	31	18 (Y)	0	0	0	0	X	36	1	28	13.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	28	Y (Y)	5	N	Y	0.5000	0.6944	3	O	 
2	26	Y (Y)	6	Y	Y	0.9444	0.6666	4	O	 
3	26	Y (Y)	5	N	Y	0.8571	0.8333	4	O	 
4	25	Y (Y)	6	N	Y	0.4563	0.8611	2	O	 
5	24	Y (Y)	5	N	Y	0.4325	0.9166	2	O	 
6	23	Y (Y)	6	N	Y	0.5198	1.0000	2	O	 
7	22	Y (Y)	5	N	Y	0.7341	1.0000	3	O	 
8	20	Y (Y)	6	N	Y	0.4801	1.0000	2	O	 
9	19	Y (Y)	5	N	Y	0.6587	0.9444	3	O	 
10	18	Y (Y)	6	N	Y	0.6507	0.7777	3	O	 
11	17	Y (Y)	5	N	Y	0.6428	0.8611	3	O	 
12	16	Y (Y)	6	N	Y	0.4246	0.8611	2	O	 
13	15	Y (Y)	5	N	Y	0.4246	0.9166	2	O	 
14	14	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
15	14	Y (Y)	4	N	Y	0.4087	0.9166	2	O	 
16	13	Y (Y)	5	N	Y	0.4166	0.8611	2	O	 
17	12	Y (Y)	6	N	Y	0.2896	1.0000	2	O	 
18	10	Y (Y)	6	N	Y	0.5158	1.0000	3	O	 
19	10	Y (Y)	6	N	Y	0.4563	0.8611	2	X	 
20	10	Y (Y)	6	N	Y	0.4246	1.0000	2	X	 
21	10	Y (Y)	5	N	Y	0.4484	1.0000	2	X	 
22	7	Y (Y)	6	N	Y	0.5198	1.0000	3	X	 
23	7	Y (Y)	6	N	Y	0.4682	0.8333	2	X	 
24	6	Y (Y)	5	N	Y	0.4365	0.9166	2	X	 
25	5	Y (Y)	6	N	Y	0.4087	1.0000	2	X	 
26	5	Y (Y)	5	N	Y	0.4007	0.8611	2	X	 
27	3	Y (Y)	6	Y	Y	0.8730	1.0000	4	X	 
28	2	Y (Y)	6	Y	Y	0.8730	1.0000	4	X	 
29	2	Y (Y)	6	N	Y	0.4087	0.8611	2	X	 
30	2	Y (Y)	6	N	Y	0.3492	0.9444	2	X	 
31	1	Y (Y)	5	N	Y	0.3214	0.5277	2	X	 
