Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
VOM1101-01-00	전공실기	3	문혜원			150	80	0 (N)	0	0	0	0	X	36	1	36	1.56
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	1	Y	Y	1.0000	0.1578	4	O	 
2	4	Y (Y)	6	N	Y	0.4142	1.0000	2	O	 
3	4	Y (Y)	6	N	Y	0.4000	1.0000	2	O	 
4	3	Y (Y)	6	N	Y	0.6500	0.9210	3	O	 
5	2	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
6	2	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
7	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
8	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
9	1	Y (Y)	6	Y	Y	0.9071	0.8421	4	O	 
10	1	Y (Y)	6	Y	Y	0.9000	0.6842	4	O	 
11	1	Y (Y)	6	Y	Y	0.8928	0.7368	4	O	 
12	1	Y (Y)	6	Y	Y	0.8857	0.7894	4	O	 
13	1	Y (Y)	6	Y	Y	0.8857	0.7368	4	O	 
14	1	Y (Y)	6	Y	Y	0.8857	0.7368	4	O	 
15	1	Y (Y)	6	Y	Y	0.8714	0.9473	4	O	 
16	1	Y (Y)	6	Y	Y	0.8714	0.8421	4	O	 
17	1	Y (Y)	6	Y	Y	0.8714	0.7894	4	O	 
18	1	Y (Y)	6	Y	Y	0.8642	0.6842	4	O	 
19	1	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
20	1	Y (Y)	6	N	Y	0.8500	0.7894	4	O	 
21	1	Y (Y)	6	N	Y	0.7142	1.0000	3	O	 
22	1	Y (Y)	6	N	Y	0.6928	1.0000	3	O	 
23	1	Y (Y)	6	N	Y	0.6714	1.0000	3	O	 
24	1	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
25	1	Y (Y)	6	N	Y	0.6642	1.0000	3	O	 
26	1	Y (Y)	6	N	Y	0.6642	0.9210	3	O	 
27	1	Y (Y)	6	N	Y	0.6571	0.9473	3	O	 
28	1	Y (Y)	6	N	Y	0.6571	0.8947	3	O	 
29	1	Y (Y)	6	N	Y	0.6500	1.0000	3	O	 
30	1	Y (Y)	6	N	Y	0.6500	0.8947	3	O	 
31	1	Y (Y)	6	N	Y	0.6428	0.9473	3	O	 
32	1	Y (Y)	6	N	Y	0.6428	0.8947	3	O	 
33	1	Y (Y)	6	N	Y	0.6357	0.8947	3	O	 
34	1	Y (Y)	6	N	Y	0.6285	1.0000	3	O	 
35	1	Y (Y)	6	N	Y	0.6285	1.0000	3	O	 
36	1	Y (Y)	6	N	Y	0.6214	1.0000	3	O	 
37	1	Y (Y)	6	N	Y	0.6142	1.0000	3	O	 
38	1	Y (Y)	6	N	Y	0.6000	1.0000	3	O	 
39	1	Y (Y)	6	N	Y	0.6000	0.9473	3	O	 
40	1	Y (Y)	6	N	Y	0.5750	1.0000	3	O	 
41	1	Y (Y)	6	N	Y	0.5357	0.8421	3	O	 
