Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CMP2206-02-00	음악사(2)	2	김택완	수7,8	음117	60	33	0 (N)	0	0	0	0	X	36	1	11	1.36
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	11	Y (Y)	6	N	Y	0.9142	0.9473	4	O	 
2	3	Y (Y)	6	Y	Y	0.8928	1.0000	4	O	 
3	1	Y (Y)	6	N	Y	0.3607	0.8684	2	O	* 
4	1	Y (Y)	6	N	Y	0.8928	1.0000	4	O	 
5	1	Y (Y)	6	N	Y	0.6714	1.0000	3	O	 
6	1	Y (Y)	6	N	Y	0.4821	0.9473	3	O	 
7	1	Y (Y)	6	N	Y	0.4250	0.9736	2	O	 
8	1	Y (Y)	6	N	Y	0.4178	1.0000	2	O	 
9	1	Y (Y)	6	N	Y	0.4107	1.0000	2	O	 
10	1	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
11	1	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
12	1	Y (Y)	6	N	Y	0.4071	0.9473	2	O	 
13	1	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
14	1	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
15	1	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
16	1	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
17	1	Y (Y)	6	N	Y	0.4035	1.0000	2	O	 
18	1	Y (Y)	6	N	Y	0.4000	1.0000	2	O	 
19	1	Y (Y)	6	N	Y	0.4000	0.9736	2	O	 
20	1	Y (Y)	6	N	Y	0.3964	1.0000	2	O	 
21	1	Y (Y)	6	N	Y	0.3964	1.0000	2	O	 
22	1	Y (Y)	6	N	Y	0.3964	1.0000	2	O	 
23	1	Y (Y)	6	N	Y	0.3928	1.0000	2	O	 
24	1	Y (Y)	6	N	Y	0.3892	1.0000	2	O	 
25	1	Y (Y)	6	N	Y	0.3892	0.9473	2	O	 
26	1	Y (Y)	6	N	Y	0.3892	0.8947	2	O	 
27	1	Y (Y)	6	N	Y	0.3821	1.0000	2	O	 
28	1	Y (Y)	6	N	Y	0.3821	0.9736	2	O	 
29	1	Y (Y)	6	N	Y	0.3785	0.9736	2	O	 
30	1	Y (Y)	6	N	Y	0.3785	0.9210	2	O	 
31	1	Y (Y)	6	N	Y	0.3750	0.8157	2	O	 
32	1	Y (Y)	6	N	Y	0.3214	0.8684	2	O	 
33	1	Y (Y)	5	N	Y	0.4107	1.0000	2	O	 
