Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MAT3104-01-00	해석학(1)	3	허영미	화6,7,목8(목9)	과B130(과B130)	36	37	0 (N)	0	10	22	4	O	36	1	30	14.24
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	6	N	Y	0.3851	0.9210	2	O	 
2	27	N (N)	6	N	Y	0.5396	1.0000	3	O	 
3	25	N (N)	6	N	Y	0.8571	0.9473	4	O	 
4	25	N (N)	6	N	Y	0.3259	0.8421	2	O	 
5	25	N (N)	6	N	Y	0.1925	0.8684	2	O	 
6	24	N (N)	6	Y	Y	0.8968	1.0000	4	O	 
7	24	N (N)	6	N	Y	0.7785	0.9473	4	O	 
8	23	N (N)	6	Y	Y	0.8650	1.0000	4	O	 
9	23	N (N)	5	N	N	0.5518	0.9210	3	O	 
10	20	Y (N)	6	N	Y	0.4801	1.0000	2	O	 
11	19	N (N)	6	N	Y	0.3730	1.0000	2	O	 
12	18	N (N)	5	N	Y	0.8333	0.8333	4	X	 
13	18	N (N)	4	Y	Y	0.9603	1.0000	4	X	 
14	16	Y (N)	6	N	Y	0.7857	0.8333	4	X	 
15	15	Y (Y)	6	N	Y	0.3111	1.0000	2	O	 
16	15	N (N)	6	N	Y	0.7259	0.7894	3	O	 
17	15	N (N)	6	N	Y	0.6892	0.9736	3	O	 
18	15	N (N)	6	N	Y	0.4703	0.9736	2	O	 
19	14	Y (Y)	6	N	Y	0.2666	0.8947	2	O	 
20	14	Y (Y)	6	N	N	0.2518	0.3157	2	O	 
21	13	Y (Y)	6	N	Y	0.5333	0.7894	3	O	 
22	12	Y (N)	6	N	Y	0.9428	0.9473	4	X	 
23	11	Y (N)	6	N	N	0.9841	0.8333	4	X	 
24	11	Y (Y)	5	N	N	0.1481	0.0000	2	O	 
25	10	Y (Y)	6	N	Y	0.4000	0.8157	2	X	 
26	10	Y (Y)	6	N	Y	0.2888	1.0000	2	X	 
27	9	Y (Y)	6	N	Y	0.4037	0.8157	2	X	 
28	8	N (N)	5	Y	Y	0.8809	0.8333	4	X	 
29	7	Y (Y)	6	N	Y	0.3814	0.6578	2	X	 
30	7	Y (Y)	6	N	N	0.3629	0.9473	2	X	 
31	5	Y (N)	6	N	Y	0.4392	1.0000	2	X	 
32	5	Y (Y)	6	N	Y	0.2888	0.7894	2	X	 
33	5	Y (Y)	6	N	Y	0.2407	0.8684	2	X	 
34	4	Y (Y)	6	N	N	0.5111	0.8421	3	O	 
35	3	Y (N)	6	Y	N	1.0000	0.7894	4	X	 
36	1	Y (Y)	6	Y	N	1.0000	0.1578	4	X	 
37	1	N (N)	6	N	Y	1.0000	0.1666	4	X	 
