Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1105-03-00	골프	1	윤두상	월1,2	골프장	18	45	0 (N)	0	6	6	6	X	36	1	36	16.69
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.7142	4	O	 
2	36	N (N)	6	Y	Y	1.0000	0.5555	4	O	 
3	36	N (N)	6	Y	Y	0.9603	0.8095	4	O	 
4	36	N (N)	3	Y	Y	0.9629	0.3157	4	O	 
5	36	N (N)	3	Y	Y	0.9555	0.6842	4	O	 
6	36	N (N)	3	N	Y	1.0000	0.4444	4	O	 
7	36	N (N)	1	Y	Y	1.0000	1.0000	4	X	 
8	35	N (N)	6	Y	Y	1.0000	1.0000	4	X	 
9	35	N (N)	4	Y	Y	0.9444	0.6666	4	X	 
10	35	N (N)	2	Y	Y	1.0000	0.8333	4	X	 
11	35	N (N)	2	Y	Y	1.0000	0.1578	4	X	 
12	35	N (N)	2	Y	Y	1.0000	0.0526	4	X	 
13	32	N (N)	6	Y	Y	1.0000	0.1111	4	X	 
14	31	N (N)	6	Y	Y	0.9920	0.7777	4	X	 
15	28	N (N)	4	Y	Y	1.0000	0.7894	4	X	 
16	27	N (N)	6	Y	Y	1.0000	1.0000	4	X	 
17	24	N (N)	6	N	Y	1.0000	0.5000	4	X	 
18	21	N (N)	4	Y	Y	0.9603	0.8333	4	X	 
19	16	N (N)	6	N	Y	0.4166	0.9166	2	O	 
20	15	N (N)	6	N	Y	0.5777	1.0000	3	O	 
21	13	N (N)	6	N	Y	0.8015	0.8333	4	X	 
22	12	N (N)	6	Y	N	0.8571	1.0000	4	X	 
23	12	N (N)	6	N	Y	0.7460	1.0000	4	X	 
24	12	N (N)	5	N	Y	0.7936	1.0000	4	X	 
25	11	N (N)	6	N	Y	0.7063	0.8333	4	X	 
26	10	N (N)	6	Y	N	0.8492	1.0000	4	X	 
27	9	N (N)	6	N	Y	0.2142	0.4736	2	O	 
28	8	N (N)	5	Y	Y	0.8730	1.0000	4	X	 
29	6	N (N)	6	N	Y	0.9185	0.9473	4	X	 
30	6	N (N)	6	N	Y	0.8571	1.0000	4	X	 
31	5	N (N)	6	Y	Y	0.9365	0.7619	4	X	 
32	5	N (N)	6	N	Y	0.9785	0.0000	4	X	 
33	4	N (N)	6	N	Y	0.3964	0.8684	2	O	 
34	3	N (N)	6	N	Y	1.0000	0.9444	4	X	 
35	3	N (N)	6	N	Y	0.9276	1.0000	2	O	 
36	2	N (N)	6	N	Y	0.4107	0.9736	2	O	 
37	1	N (N)	6	Y	Y	1.0000	0.3157	4	X	 
38	1	N (N)	6	Y	Y	1.0000	0.1666	4	X	 
39	1	N (N)	6	Y	Y	1.0000	0.1666	4	X	 
40	1	N (N)	6	Y	Y	0.9444	0.8333	4	X	 
41	1	N (N)	6	N	Y	0.7925	1.0000	4	X	 
42	1	N (N)	6	N	Y	0.4392	0.8684	2	O	 
43	1	N (N)	6	N	Y	0.4178	0.9736	2	X	 
44	1	N (N)	6	N	Y	0.3888	0.8333	2	X	 
45	1	N (N)	6	N	Y	0.0666	0.3157	2	X	 
