Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1108-02-00	호신술	1	고재면	목3,4	스포츠(태권도장)	22	66	0 (N)	0	7	8	7	X	36	1	36	12.89
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.9523	1.0000	3	O	 
2	36	N (N)	6	N	Y	0.8223	0.6875	2	O	 
3	36	N (N)	6	N	Y	0.6642	1.0000	3	O	 
4	36	N (N)	6	N	Y	0.6444	0.9473	3	O	 
5	36	N (N)	6	N	Y	0.6428	0.8947	3	O	 
6	36	N (N)	6	N	Y	0.6285	1.0000	3	O	 
7	36	N (N)	5	Y	Y	0.9071	0.7894	4	O	 
8	36	N (N)	3	N	Y	1.0000	0.4444	4	O	 
9	35	N (N)	6	N	Y	0.6000	1.0000	3	O	 
10	30	N (N)	6	Y	Y	0.9206	0.8333	4	O	 
11	28	N (N)	6	N	Y	0.6888	0.9473	3	O	 
12	27	N (N)	6	N	Y	0.6571	1.0000	3	O	 
13	25	N (N)	5	N	Y	0.4333	0.9210	2	O	 
14	22	N (N)	5	Y	Y	0.9111	0.6315	4	O	 
15	21	N (N)	6	Y	Y	0.8785	0.8421	4	O	 
16	21	N (N)	6	N	Y	0.6547	0.7777	3	X	 
17	20	N (N)	6	N	Y	0.4037	0.8157	2	O	 
18	20	N (N)	4	N	Y	0.9357	1.0000	4	O	 
19	18	N (N)	6	N	Y	0.6592	0.9473	4	O	 
20	18	N (N)	3	Y	Y	1.0000	0.6666	4	X	 
21	17	N (N)	6	Y	Y	0.9444	0.8333	4	X	 
22	17	N (N)	6	N	Y	0.3690	0.8611	2	O	 
23	16	N (N)	6	N	Y	0.5428	0.9473	3	X	 
24	16	N (N)	6	N	Y	0.4259	0.9736	2	O	 
25	15	N (N)	6	N	Y	0.4563	1.0000	2	O	 
26	15	N (N)	6	N	Y	0.4325	0.9722	2	O	 
27	15	N (N)	6	N	Y	0.3571	0.6666	2	X	 
28	14	N (N)	6	N	Y	0.8962	0.9473	4	X	 
29	12	N (N)	4	N	Y	1.0000	0.4444	4	X	 
30	10	N (N)	6	N	Y	0.6962	1.0000	3	X	 
31	10	N (N)	6	N	Y	0.6190	0.7142	3	X	 
32	10	N (N)	6	N	Y	0.4126	1.0000	2	X	 
33	9	N (N)	6	Y	Y	0.9920	1.0000	4	X	 
34	9	N (N)	6	N	Y	0.4857	1.0000	3	X	 
35	8	N (N)	6	N	Y	0.2666	0.8947	2	X	 
36	7	N (N)	6	N	Y	0.5198	0.8611	2	X	 
37	6	N (N)	6	Y	Y	1.0000	0.4736	4	X	 
38	6	N (N)	6	Y	Y	1.0000	0.3333	4	X	 
39	6	N (N)	6	Y	Y	1.0000	0.3333	4	X	 
40	5	N (N)	6	N	Y	1.0000	0.5000	4	X	 
41	5	N (N)	6	N	Y	0.9785	0.0000	4	X	 
42	5	N (N)	6	N	Y	0.5142	0.6315	3	X	 
43	5	N (N)	6	N	Y	0.3962	1.0000	2	X	 
44	5	N (N)	6	N	Y	0.2817	0.5277	2	X	 
45	5	N (N)	5	N	Y	0.1703	0.5526	2	X	 
46	3	N (N)	6	Y	Y	0.9841	0.6666	4	X	 
47	3	N (N)	6	N	Y	0.8962	1.0000	4	X	 
48	3	N (N)	5	N	Y	0.9071	0.9473	4	X	 
49	2	N (N)	6	Y	Y	0.8730	0.8333	4	X	 
50	2	N (N)	6	N	Y	0.9457	0.9473	5	X	 
51	2	N (N)	6	N	Y	0.4296	0.7894	2	X	 
52	1	N (N)	6	Y	Y	1.0000	0.8333	4	X	 
53	1	N (N)	6	Y	Y	1.0000	0.6842	4	X	 
54	1	N (N)	6	Y	Y	1.0000	0.6315	4	X	 
55	1	N (N)	6	Y	Y	1.0000	0.6315	4	X	 
56	1	N (N)	6	Y	Y	1.0000	0.5555	4	X	 
57	1	N (N)	6	Y	Y	1.0000	0.3684	4	X	 
58	1	N (N)	6	Y	Y	1.0000	0.1111	4	X	 
59	1	N (N)	6	Y	Y	1.0000	0.0555	4	X	 
60	1	N (N)	6	Y	Y	1.0000	0.0555	4	X	 
61	1	N (N)	6	Y	Y	0.9920	0.7777	4	X	 
62	1	N (N)	6	Y	Y	0.9714	1.0000	4	X	 
63	1	N (N)	6	Y	Y	0.9214	0.7368	4	X	 
64	1	N (N)	6	N	Y	0.8857	0.9473	4	X	 
65	1	N (N)	6	N	Y	0.6714	1.0000	3	X	 
66	1	N (N)	5	Y	Y	0.9126	0.8888	4	X	 
