Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
YCF1201-05-00	한문(1)	3	윤현숙	월5,6,수5(수6)	백S604(백S604)	36	24	0 (N)	0	12	12	12	X	36	1	33	12.17
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	33	N (N)	6	N	N	1.0000	0.9444	4	O	 
2	21	N (N)	6	N	N	0.3888	0.8947	2	O	 
3	20	N (N)	4	Y	N	0.9259	0.6315	4	O	 
4	18	N (N)	6	Y	Y	0.9071	0.7894	4	O	 
5	16	N (N)	6	N	Y	0.4107	0.8157	2	O	 
6	16	N (N)	6	N	Y	0.3814	0.9210	2	O	 
7	16	N (N)	6	N	Y	0.3642	0.9736	2	O	 
8	16	N (N)	6	N	Y	0.2571	1.0000	2	O	 
9	16	N (N)	6	N	Y	0.2148	0.8157	2	O	 
10	15	N (N)	6	Y	Y	0.9206	0.8333	4	O	 
11	15	N (N)	6	N	Y	0.4126	1.0000	2	O	 
12	15	N (N)	6	N	N	0.4047	0.8333	2	O	 
13	14	N (N)	6	N	Y	0.3253	1.0000	2	O	 
14	14	N (N)	6	N	Y	0.2658	0.8888	2	O	 
15	9	N (N)	6	Y	Y	0.8888	0.9444	4	O	 
16	7	N (N)	6	N	Y	0.6587	0.8888	3	O	 
17	7	N (N)	6	N	Y	0.4962	0.9736	3	O	 
18	6	N (N)	6	N	N	0.4000	0.9473	3	O	 
19	5	N (N)	6	N	Y	0.8296	0.9473	4	O	 
20	4	N (N)	6	N	Y	0.6500	0.9473	3	O	 
21	4	N (N)	6	N	Y	0.6428	0.9473	3	O	 
22	3	N (N)	5	N	Y	0.2063	0.5000	2	O	 
23	1	N (N)	6	N	Y	0.3892	0.7631	2	O	 
24	1	N (N)	5	N	Y	0.8370	0.9473	4	O	 
