Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3136-01-00	인적자원관리	3	양혁승	화7,목8,9	경영B201	62	30	56 (Y)	0	0	31	31	O	24	1	24	6.83
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	N (N)	3	Y	Y	1.0000	0.1578	4	O	 
2	17	Y (Y)	6	N	Y	0.7698	0.6666	4	O	 
3	16	Y (Y)	6	N	Y	0.8730	1.0000	4	O	 
4	16	Y (Y)	6	N	Y	0.8370	0.9473	4	O	 
5	15	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
6	14	Y (Y)	6	N	Y	0.7301	0.8888	4	O	 
7	12	Y (Y)	6	Y	Y	0.8650	1.0000	4	O	 
8	12	Y (Y)	5	N	Y	0.6074	1.0000	3	O	 
9	11	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
10	10	Y (Y)	6	N	Y	0.8015	1.0000	4	O	 
11	10	Y (Y)	5	N	Y	0.8492	1.0000	4	O	 
12	8	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
13	7	Y (Y)	6	N	Y	0.6587	0.6111	3	O	 
14	6	Y (Y)	6	N	Y	0.8174	0.8333	4	O	 
15	4	Y (Y)	6	N	Y	0.6071	1.0000	3	O	 
16	4	Y (Y)	5	Y	Y	0.7936	0.6666	4	O	 
17	4	N (N)	6	N	Y	0.8253	0.8333	4	O	 
18	3	Y (Y)	6	Y	Y	0.7698	0.3333	4	O	 
19	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
20	1	Y (Y)	6	Y	Y	1.0000	0.6666	4	O	 
21	1	Y (Y)	6	Y	Y	0.9841	0.5000	4	O	 
22	1	Y (Y)	6	N	Y	0.9407	0.7894	4	O	 
23	1	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
24	1	Y (Y)	6	N	Y	0.6507	0.8333	3	O	 
25	1	Y (Y)	6	N	Y	0.5555	0.9736	3	O	 
26	1	Y (Y)	6	N	Y	0.4841	0.7777	3	O	 
27	1	N (N)	6	Y	Y	1.0000	0.3157	4	O	 
28	1	N (N)	6	Y	Y	0.7777	0.8333	4	O	 
29	1	N (N)	6	N	Y	0.8253	0.6666	4	O	 
30	1	N (N)	6	N	Y	0.7777	1.0000	4	O	 
