Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ENG3404-01-00	창업304:x-design(캡스톤디자인)	3	강소연	월7,8,9	공D510	27	29	20 (Y)	0	0	0	0	O	36	1	36	22.31
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.7500	0.9722	4	O	 
2	36	Y (Y)	6	N	Y	0.6928	0.9473	4	O	 
3	36	Y (Y)	2	N	Y	0.8857	0.4736	4	O	 
4	35	Y (Y)	2	Y	Y	0.9928	1.0000	4	O	 
5	33	Y (Y)	6	Y	Y	0.9571	1.0000	4	O	 
6	32	Y (Y)	5	N	Y	0.6250	0.6315	4	O	 
7	30	Y (Y)	2	N	Y	0.7714	0.9473	4	O	 
8	29	Y (Y)	6	N	Y	0.8285	1.0000	4	O	 
9	29	Y (Y)	6	N	Y	0.7928	0.7894	4	O	 
10	27	Y (Y)	6	N	Y	0.6785	0.9473	4	O	 
11	25	Y (Y)	6	N	Y	0.7642	0.7894	4	O	 
12	24	Y (Y)	6	N	Y	0.9142	0.9473	4	O	 
13	24	Y (Y)	6	N	Y	0.7714	0.7368	4	O	 
14	23	Y (Y)	6	N	Y	0.7642	0.7894	4	O	 
15	23	Y (Y)	5	Y	Y	0.8928	0.9473	4	O	 
16	22	Y (Y)	6	N	Y	0.7428	0.6315	4	O	 
17	22	Y (Y)	6	N	Y	0.6214	0.8947	3	O	 
18	21	Y (Y)	6	N	Y	0.6392	0.8947	3	O	 
19	20	Y (Y)	6	N	Y	0.8214	0.9473	4	O	 
20	20	Y (Y)	6	N	Y	0.7071	1.0000	3	O	 
21	20	Y (Y)	4	Y	Y	0.9142	0.7894	4	O	 
22	20	N (N)	6	N	Y	0.7380	0.8333	4	O	 
23	17	Y (Y)	6	N	Y	0.7928	1.0000	4	O	 
24	12	Y (Y)	3	Y	Y	0.9428	1.0000	4	O	 
25	10	Y (Y)	6	N	Y	0.7571	0.7894	4	O	 
26	10	Y (Y)	6	N	Y	0.7357	0.7894	4	O	 
27	6	Y (Y)	6	N	Y	0.7428	1.0000	4	O	 
28	4	N (N)	6	N	Y	0.7500	0.8750	4	X	 
29	1	Y (Y)	6	Y	Y	0.8857	0.7894	4	X	 
