Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GCE2007-01-00	대조언어학	3	황은하	금7,8,9	새천215	40	26	40 (N)	0	25	10	5	X	36	1	12	7.88
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	0.6785	0.9444	3	O	 
2	12	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
3	12	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
4	12	Y (Y)	6	N	Y	0.3849	0.7777	3	O	 
5	12	Y (Y)	6	N	Y	0.2777	0.8333	2	O	 
6	11	Y (Y)	6	N	Y	0.6111	1.0000	3	O	 
7	11	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
8	10	Y (Y)	6	N	Y	0.7242	1.0000	3	O	 
9	10	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
10	10	Y (Y)	6	N	Y	0.5873	1.0000	3	O	 
11	10	Y (Y)	6	N	Y	0.4365	0.8611	3	O	 
12	10	Y (Y)	6	N	Y	0.3849	0.1944	3	O	 
13	8	Y (Y)	6	N	Y	0.4166	0.9444	2	O	 
14	8	Y (Y)	6	N	Y	0.3452	0.8333	3	X	 
15	7	Y (Y)	6	N	Y	0.5992	0.6944	3	X	 
16	7	Y (Y)	5	N	Y	0.2539	0.8333	2	O	 
17	6	Y (Y)	6	N	Y	0.5555	1.0000	3	X	 
18	6	Y (Y)	6	N	Y	0.4920	0.8611	3	X	 
19	6	Y (Y)	6	N	Y	0.4920	0.7500	3	X	 
20	6	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
21	5	Y (Y)	6	N	Y	0.5873	1.0000	3	X	 
22	5	Y (Y)	6	N	Y	0.5277	0.8611	3	X	 
23	5	Y (Y)	6	N	Y	0.2698	0.8888	2	O	 
24	2	Y (Y)	6	N	Y	0.6666	0.8888	3	X	 
25	1	Y (Y)	6	N	Y	0.4563	0.6944	3	X	 
26	1	Y (Y)	5	N	Y	0.5476	1.0000	3	X	 
