Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GER2116-01-00	독일어텍스트읽기(1)	3	이진영	화2,3,목1	위215	30	30	0 (N)	0	0	0	0	O	36	1	17	8.77
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	17	N (N)	5	N	Y	0.7333	0.6315	4	O	 
2	14	N (N)	6	N	Y	0.8148	0.9473	4	O	 
3	14	N (N)	6	N	Y	0.5037	0.8421	3	O	 
4	13	N (N)	6	N	Y	0.5851	0.9736	3	O	 
5	13	N (N)	6	N	Y	0.4603	0.9166	3	O	 
6	12	N (N)	6	N	Y	0.7666	0.9473	4	O	 
7	11	N (N)	6	N	Y	0.6592	1.0000	3	O	 
8	11	N (N)	6	N	Y	0.2740	0.7894	2	O	 
9	11	N (N)	6	N	Y	0.2444	0.8421	2	O	 
10	10	N (N)	6	N	Y	0.7851	0.9473	4	O	 
11	10	N (N)	6	N	Y	0.5222	0.9736	2	O	 
12	10	N (N)	6	N	Y	0.2740	1.0000	2	O	 
13	10	N (N)	6	N	Y	0.2666	1.0000	2	O	 
14	9	N (N)	6	N	Y	0.8809	1.0000	4	O	 
15	9	N (N)	6	N	Y	0.3629	0.7894	2	O	 
16	9	N (N)	6	N	Y	0.2740	0.8947	2	O	 
17	8	N (N)	6	N	Y	0.7481	1.0000	4	O	 
18	8	N (N)	6	N	Y	0.6296	0.6842	4	O	 
19	8	N (N)	6	N	Y	0.2666	0.8421	2	O	 
20	8	N (N)	6	N	Y	0.2629	0.8157	2	O	 
21	7	N (N)	6	N	Y	0.4962	0.7894	3	O	 
22	7	N (N)	6	N	Y	0.2740	1.0000	2	O	 
23	7	N (N)	6	N	Y	0.2740	1.0000	2	O	 
24	6	N (N)	6	N	Y	0.2444	1.0000	2	O	 
25	6	N (N)	4	N	Y	0.7936	0.8333	4	O	 
26	5	N (N)	6	N	Y	0.5158	0.7777	3	O	 
27	5	N (N)	6	N	Y	0.2666	0.8421	2	O	 
28	3	N (N)	5	N	Y	0.2518	0.8421	2	O	 
29	1	N (N)	6	N	Y	0.7539	0.8333	4	O	 
30	1	N (N)	6	N	Y	0.6740	0.1578	4	O	 
