Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCK1111-01-00	BUILDING FLUENCY IN SPEAKING(ADV)	3	유그레이스은혜	월7,8,수8	백S204	18	31	18 (N)	0	0	0	0	O	36	3	33	15.87
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	33	Y (Y)	3	Y	Y	0.9714	0.6842	4	O	 
2	32	Y (Y)	6	Y	Y	0.9523	0.8333	4	O	 
3	28	Y (Y)	6	N	Y	0.5873	0.9166	3	O	 
4	22	Y (Y)	6	N	Y	0.3095	0.9444	2	O	 
5	20	Y (Y)	6	Y	Y	0.8814	0.9473	4	O	 
6	20	Y (Y)	6	N	Y	0.8370	1.0000	4	O	 
7	20	Y (Y)	6	N	Y	0.7785	0.7894	4	O	 
8	20	Y (Y)	4	Y	Y	0.9285	0.8333	4	O	 
9	18	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
10	18	Y (Y)	6	N	Y	0.2857	0.8333	2	O	 
11	18	Y (Y)	6	N	Y	0.2035	0.5789	2	O	 
12	18	Y (Y)	5	N	Y	0.7407	0.7368	4	O	 
13	17	Y (Y)	6	N	Y	0.8678	0.7894	4	O	 
14	16	Y (Y)	6	N	Y	0.5198	0.8055	3	O	 
15	16	Y (Y)	6	N	Y	0.2888	0.8947	2	O	 
16	15	Y (Y)	6	N	Y	0.8535	0.8421	4	O	 
17	15	Y (Y)	6	N	Y	0.2666	0.8421	2	O	 
18	14	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
19	14	Y (Y)	5	Y	Y	0.8888	1.0000	4	X	 
20	13	Y (Y)	6	N	Y	0.9357	1.0000	4	X	 
21	13	Y (Y)	6	N	Y	0.3095	0.9444	2	X	 
22	12	Y (Y)	6	N	Y	0.8968	0.8333	4	X	 
23	12	Y (Y)	6	N	Y	0.4087	0.8611	2	X	 
24	12	Y (Y)	6	N	Y	0.2888	1.0000	2	X	 
25	12	Y (Y)	6	N	Y	0.2518	0.8947	2	X	 
26	11	Y (Y)	6	N	Y	0.2539	0.8888	2	X	 
27	10	Y (Y)	6	N	Y	0.6428	0.8888	3	X	 
28	10	Y (Y)	6	N	Y	0.2857	1.0000	2	X	 
29	5	Y (Y)	6	N	Y	0.5296	0.9736	3	X	 
30	5	Y (Y)	3	N	Y	0.9333	1.0000	4	X	 
31	3	Y (Y)	6	N	Y	0.8000	0.9473	4	X	 
