Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
YCF1301-02-00	중국어(1)	3	박수진	화7,8,목7(목8)	교405(교405)	27	22	0 (N)	0	9	9	9	X	36	2	36	12.45
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	N	0.5037	0.8421	3	O	 
2	25	N (N)	6	N	Y	0.2857	1.0000	2	O	 
3	22	N (N)	6	N	Y	0.3174	1.0000	2	O	 
4	18	N (N)	6	N	Y	0.2785	0.8947	2	O	 
5	18	N (N)	6	N	Y	0.2777	1.0000	2	O	 
6	18	N (N)	6	N	Y	0.2571	0.8421	2	O	 
7	15	N (N)	6	N	Y	0.3769	1.0000	2	O	 
8	14	N (N)	6	N	Y	0.2500	0.8611	2	O	 
9	14	N (N)	6	N	Y	0.2357	0.9473	2	O	 
10	13	N (N)	6	N	Y	0.7539	0.9444	4	O	 
11	13	N (N)	6	N	Y	0.2857	0.9473	2	O	 
12	11	N (N)	6	Y	Y	0.9481	0.8421	4	O	 
13	10	N (N)	6	N	Y	0.8142	1.0000	4	O	 
14	10	N (N)	5	Y	Y	0.8642	0.8947	4	O	 
15	7	N (N)	6	N	Y	0.2259	0.7105	2	X	 
16	6	N (N)	6	N	Y	0.3333	1.0000	2	X	 
17	6	N (N)	6	N	Y	0.2444	0.8421	2	X	 
18	5	N (N)	6	N	Y	0.3892	0.9210	3	O	 
19	5	N (N)	6	N	Y	0.2857	1.0000	2	X	 
20	3	N (N)	6	N	Y	0.2777	0.7222	2	X	 
21	3	N (N)	5	N	Y	0.7571	0.8421	4	O	 
22	2	N (N)	6	N	Y	0.3888	0.9722	2	X	 
