Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CEE4401-02-00	건설재료실험	3	정상섬	월8,9,10	공A401	25	36	0 (N)	0	0	0	0	X	36	1	36	10.72
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.5928	1.0000	3	O	 
2	26	Y (Y)	6	N	Y	0.8500	0.7894	4	O	 
3	23	Y (Y)	6	N	Y	0.6535	0.9736	3	O	 
4	18	Y (Y)	6	N	Y	0.9500	0.9473	4	O	 
5	18	Y (Y)	6	N	Y	0.5285	0.9473	3	O	 
6	17	Y (Y)	6	Y	Y	0.8357	0.9473	4	O	 
7	17	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
8	16	Y (Y)	6	N	Y	0.6785	1.0000	3	O	 
9	15	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
10	15	Y (Y)	6	N	Y	0.6142	0.9473	3	O	 
11	14	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
12	14	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
13	13	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
14	13	Y (Y)	6	N	Y	0.6714	1.0000	3	O	 
15	13	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
16	13	Y (Y)	6	N	Y	0.5285	0.9473	3	O	 
17	12	Y (Y)	6	N	Y	0.7285	0.9473	4	O	 
18	9	Y (Y)	6	N	Y	0.6571	0.7894	3	O	 
19	8	Y (Y)	6	N	Y	0.7000	0.9473	3	O	 
20	8	Y (Y)	6	N	Y	0.7000	0.9473	3	O	 
21	8	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
22	8	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
23	6	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
24	6	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
25	5	Y (Y)	6	Y	Y	0.8785	0.6842	4	O	 
26	5	Y (Y)	6	N	Y	0.7714	1.0000	4	X	 
27	5	Y (Y)	6	N	Y	0.6750	0.9736	3	X	 
28	5	Y (Y)	6	N	Y	0.6000	0.9473	3	X	 
29	5	Y (Y)	6	N	Y	0.5607	0.8157	3	X	 
30	4	Y (Y)	6	N	Y	0.6642	1.0000	3	X	 
31	3	Y (Y)	6	N	Y	0.6500	1.0000	3	X	 
32	2	Y (Y)	6	N	Y	0.7642	0.9473	4	X	 
33	2	Y (Y)	6	N	Y	0.5642	0.9473	3	X	 
34	2	Y (Y)	4	N	Y	0.6285	0.9473	3	X	 
35	1	Y (Y)	6	N	Y	0.6642	1.0000	3	X	 
36	1	Y (Y)	6	N	Y	0.5714	0.9473	3	X	 
