Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ARC4110-01-00	건축설계8	6	최문규,신혜원	월7,8,9,10,11,12,목6,7,8,9,10,11	공A601-4	45	33	45 (Y)	0	0	0	0	O	36	1	36	13.85
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	0.9879	0.7894	5	O	 
2	36	Y (Y)	6	Y	Y	0.9518	0.7894	5	O	 
3	36	Y (Y)	6	Y	Y	0.9397	0.6315	5	O	 
4	36	Y (Y)	5	Y	Y	1.0000	0.7894	5	O	 
5	36	Y (Y)	5	Y	Y	0.8975	0.7894	5	O	 
6	36	Y (Y)	4	Y	Y	0.9759	0.7894	5	O	 
7	36	Y (Y)	3	Y	Y	0.9397	0.7894	5	O	 
8	36	Y (Y)	1	Y	Y	1.0000	0.7894	5	O	 
9	35	Y (Y)	2	Y	Y	0.9819	0.7894	5	O	 
10	32	Y (Y)	6	Y	Y	0.9819	0.7894	5	O	 
11	30	Y (Y)	5	Y	Y	0.9638	0.7894	5	O	 
12	25	Y (Y)	4	Y	Y	0.9457	0.7894	5	O	 
13	10	Y (Y)	4	Y	Y	0.9337	0.9473	5	O	 
14	10	Y (Y)	3	Y	Y	0.9698	0.7894	5	O	 
15	5	Y (Y)	5	N	Y	0.8614	0.9473	5	O	 
16	3	Y (Y)	3	Y	Y	0.9518	0.7894	5	O	 
17	2	Y (Y)	6	Y	Y	1.0000	0.7368	5	O	 
18	2	Y (Y)	5	Y	Y	0.9156	0.6315	5	O	 
19	1	Y (Y)	6	Y	Y	1.0000	0.8421	5	O	 
20	1	Y (Y)	6	Y	Y	1.0000	0.8421	5	O	 
21	1	Y (Y)	6	Y	Y	0.9819	0.8421	5	O	 
22	1	Y (Y)	6	Y	Y	0.9759	0.8421	5	O	 
23	1	Y (Y)	6	Y	Y	0.9638	0.7894	5	O	 
24	1	Y (Y)	6	Y	Y	0.9457	1.0000	5	O	 
25	1	Y (Y)	6	N	Y	1.0000	0.9473	5	O	 
26	1	Y (Y)	5	Y	Y	0.9277	0.7894	5	O	 
27	1	Y (Y)	5	Y	Y	0.9277	0.7894	5	O	 
28	1	Y (Y)	5	N	Y	0.8795	0.6315	5	O	 
29	1	Y (Y)	5	N	Y	0.8493	0.9473	5	O	 
30	1	Y (Y)	4	Y	Y	1.0000	0.9473	5	O	 
31	1	Y (Y)	4	Y	Y	0.9638	0.8421	5	O	 
32	1	Y (Y)	2	N	Y	0.9518	0.6315	5	O	 
33	1	Y (Y)	1	N	Y	1.0000	1.0000	5	O	 
