Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IIE3107-01-00	품질공학	3	손소영	월5,화6,7	공D407	40	38	38 (Y)	0	0	0	0	O	36	1	20	6.05
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	Y (Y)	4	N	Y	0.5000	0.9722	3	O	 
2	18	Y (Y)	5	Y	Y	0.8222	0.7894	4	O	 
3	13	Y (Y)	6	N	Y	0.7714	0.7368	4	O	 
4	12	Y (Y)	6	Y	Y	0.9642	1.0000	4	O	 
5	12	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
6	12	Y (Y)	5	N	Y	0.6642	0.9473	3	O	 
7	12	N (N)	5	N	Y	0.5000	0.9210	3	O	 
8	11	Y (Y)	6	N	Y	0.9037	0.7894	4	O	 
9	11	Y (Y)	6	N	Y	0.6642	0.8421	3	O	 
10	11	Y (Y)	5	N	Y	0.5000	0.9722	3	O	 
11	10	Y (Y)	6	N	Y	0.4571	0.7894	3	O	 
12	10	Y (Y)	5	N	Y	0.4750	0.7105	3	O	 
13	9	Y (Y)	5	N	Y	0.5851	0.6315	3	O	 
14	6	Y (Y)	6	N	Y	0.8000	0.7894	4	O	 
15	6	Y (Y)	6	N	Y	0.6785	0.9736	3	O	 
16	5	Y (Y)	6	N	Y	0.8074	0.9473	4	O	 
17	5	Y (Y)	6	N	Y	0.7571	0.9473	4	O	 
18	5	Y (Y)	6	N	Y	0.7357	1.0000	3	O	 
19	5	Y (Y)	6	N	Y	0.7285	1.0000	4	O	 
20	5	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
21	4	Y (Y)	6	N	Y	1.0000	0.9473	4	O	 
22	3	Y (Y)	6	N	Y	0.9928	0.9473	4	O	 
23	3	Y (Y)	6	N	Y	0.7357	0.9473	3	O	 
24	3	Y (Y)	6	N	Y	0.6666	0.9473	3	O	 
25	2	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
26	2	Y (Y)	6	Y	Y	0.9285	0.8333	4	O	 
27	2	Y (Y)	6	N	Y	0.7821	0.8684	4	O	 
28	2	Y (Y)	6	N	Y	0.6888	1.0000	3	O	 
29	2	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
30	1	Y (Y)	6	Y	Y	0.9785	1.0000	4	O	 
31	1	Y (Y)	6	Y	Y	0.9785	0.7894	4	O	 
32	1	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
33	1	Y (Y)	6	Y	Y	0.8714	0.9473	4	O	 
34	1	Y (Y)	6	N	Y	0.8142	0.9473	4	O	 
35	1	Y (Y)	6	N	Y	0.7857	0.7894	4	O	 
36	1	Y (Y)	6	N	Y	0.7111	0.9473	3	O	 
37	1	Y (Y)	6	N	Y	0.6962	0.8947	3	O	 
38	1	N (N)	6	N	Y	0.6309	0.8157	3	O	 
