Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MST2260-01-00	결정학	3	박형호	화2,3,목6	공B037	40	40	0 (Y)	0	0	0	0	X	18	1	18	7.33
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
2	18	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
3	18	Y (Y)	6	N	Y	0.3821	0.9210	2	O	 
4	17	Y (Y)	6	N	Y	0.2535	0.8684	2	O	 
5	13	Y (Y)	6	N	Y	0.3000	0.9473	2	O	 
6	11	Y (Y)	6	N	Y	0.4571	0.9473	3	O	 
7	11	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
8	11	Y (Y)	6	N	Y	0.3392	0.6315	2	O	 
9	10	Y (Y)	6	N	Y	0.4535	0.9736	2	O	 
10	10	Y (Y)	6	N	Y	0.4500	0.7894	3	O	 
11	10	Y (Y)	6	N	Y	0.4000	0.9210	2	O	 
12	10	Y (Y)	6	N	Y	0.3107	0.6315	2	O	 
13	9	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
14	9	Y (Y)	6	N	Y	0.3607	0.9736	2	O	 
15	8	Y (Y)	6	N	Y	0.6285	0.7894	3	O	 
16	8	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
17	8	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
18	7	Y (Y)	6	N	Y	0.5642	0.7894	3	O	 
19	7	Y (Y)	6	N	Y	0.4535	0.9736	2	O	 
20	7	Y (Y)	6	N	Y	0.3892	0.8157	2	O	 
21	7	Y (Y)	6	N	Y	0.3535	0.8684	2	O	 
22	7	Y (Y)	6	N	Y	0.3000	1.0000	2	O	 
23	6	Y (Y)	6	N	Y	0.3464	0.9736	2	O	 
24	6	Y (Y)	6	N	Y	0.2928	0.9473	3	O	 
25	6	Y (Y)	5	N	Y	0.3821	0.9736	2	O	 
26	5	Y (Y)	6	N	Y	0.4285	0.9736	2	O	 
27	5	Y (Y)	6	N	Y	0.3142	0.7894	2	O	 
28	5	Y (Y)	6	N	N	0.7571	0.9473	4	O	 
29	4	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
30	4	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
31	4	Y (Y)	6	N	N	0.6357	1.0000	3	O	 
32	3	Y (Y)	6	N	Y	0.4321	0.9736	2	O	 
33	3	Y (Y)	5	N	Y	0.3821	0.9736	3	O	 
34	2	Y (Y)	6	N	Y	0.3750	0.8684	2	O	 
35	1	Y (Y)	6	N	Y	0.5000	0.8157	3	O	 
36	1	Y (Y)	6	N	Y	0.4250	0.9736	2	O	 
37	1	Y (Y)	6	N	Y	0.3857	0.7894	2	O	 
38	1	Y (Y)	6	N	Y	0.3750	0.7631	2	O	 
39	1	Y (Y)	6	N	N	0.5714	0.7894	3	O	 
40	1	Y (Y)	5	N	Y	0.4107	0.9736	2	O	 
