Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DAA2230-02-00	화공실험(3)	3	김중현	화0,11,12,13,14,15	공A151	20	28	0 (N)	0	0	0	0	O	36	1	34	10.79
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	34	Y (Y)	4	Y	Y	0.9142	0.9473	4	O	 
2	26	Y (Y)	6	N	Y	0.7000	0.8421	3	O	 
3	20	Y (Y)	6	N	Y	0.7071	1.0000	3	O	 
4	19	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
5	18	Y (Y)	6	N	Y	0.6928	0.8421	3	O	 
6	16	Y (Y)	6	N	Y	0.7000	0.9473	3	O	 
7	13	Y (Y)	6	Y	Y	0.9071	1.0000	4	O	 
8	13	Y (Y)	6	Y	Y	0.8428	0.7894	4	O	 
9	12	Y (Y)	6	Y	Y	0.9142	1.0000	4	O	 
10	12	Y (Y)	6	N	Y	0.7000	0.7894	3	O	 
11	12	Y (Y)	6	N	Y	0.6678	0.9736	3	O	 
12	12	Y (Y)	6	N	Y	0.6500	0.7894	3	O	 
13	12	Y (Y)	5	Y	Y	0.9357	1.0000	4	O	 
14	12	Y (Y)	5	Y	Y	0.9000	0.7894	4	O	 
15	11	Y (Y)	6	N	Y	0.8464	0.9473	4	O	 
16	10	Y (Y)	6	N	Y	0.7642	0.7894	4	O	 
17	10	Y (Y)	5	N	Y	0.7964	1.0000	4	O	 
18	8	Y (Y)	6	Y	Y	0.9071	0.7894	4	O	 
19	7	Y (Y)	6	N	Y	0.8428	0.7894	4	O	 
20	7	Y (Y)	6	N	Y	0.6642	0.9473	3	O	 
21	6	Y (Y)	5	Y	Y	0.9071	0.7894	4	X	 
22	4	Y (Y)	6	N	Y	0.6357	1.0000	3	X	 
23	3	Y (Y)	6	N	Y	0.6500	0.8947	3	X	 
24	1	Y (Y)	6	Y	Y	0.9428	1.0000	4	X	 
25	1	Y (Y)	6	Y	Y	0.9357	0.7894	4	X	 
26	1	Y (Y)	6	N	Y	0.7928	0.7894	4	X	 
27	1	Y (Y)	6	N	Y	0.7214	0.9736	3	X	 
28	1	Y (Y)	6	N	Y	0.7142	0.7894	4	X	 
