Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
POL3122-01-00	일본과동아시아	3	김상준	월8,9,수8	연401	80	48	60 (Y)	0	0	0	0	O	18	1	18	9.5
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	Y	Y	1.0000	0.8333	4	O	 
2	18	Y (Y)	6	N	Y	0.8571	0.6666	4	O	 
3	18	Y (Y)	6	N	Y	0.7546	0.7894	4	O	 
4	18	Y (Y)	6	N	Y	0.6984	1.0000	3	O	 
5	18	Y (Y)	6	N	Y	0.4484	0.9722	2	O	 
6	18	Y (Y)	4	Y	Y	0.9365	0.8333	4	O	 
7	18	Y (Y)	4	N	Y	0.8531	0.6666	4	O	 
8	18	Y (Y)	3	N	Y	0.9523	0.9444	4	O	 
9	18	N (N)	6	Y	Y	0.9761	0.5000	4	O	 
10	16	Y (Y)	6	Y	Y	0.9603	0.8333	4	O	 
11	16	Y (Y)	5	N	Y	0.7481	0.6666	3	O	 
12	15	Y (Y)	6	N	Y	0.4007	1.0000	2	O	 
13	14	Y (Y)	6	Y	Y	0.7936	1.0000	4	O	 
14	14	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
15	14	Y (Y)	6	N	N	0.5158	0.8333	3	O	 
16	13	Y (Y)	6	Y	Y	0.9285	0.6666	4	O	 
17	12	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
18	12	Y (Y)	6	N	Y	0.6428	0.8333	3	O	 
19	12	Y (Y)	6	N	N	0.4523	0.0000	4	O	 
20	12	N (N)	6	N	Y	0.6518	0.7894	3	O	 
21	10	Y (Y)	6	Y	Y	0.8888	1.0000	4	O	 
22	10	Y (Y)	6	N	Y	0.5952	0.5000	3	O	 
23	10	Y (Y)	6	N	Y	0.5277	0.8888	3	O	 
24	10	Y (Y)	6	N	Y	0.5238	1.0000	3	O	 
25	10	Y (Y)	6	N	Y	0.4642	1.0000	2	O	 
26	10	N (N)	6	N	Y	0.6296	0.8157	3	O	 
27	8	Y (Y)	6	Y	Y	0.8809	0.8333	4	O	 
28	8	Y (Y)	6	N	Y	0.5158	0.8333	3	O	 
29	8	Y (Y)	6	N	Y	0.4325	0.9722	2	O	 
30	8	Y (Y)	4	N	Y	0.7619	0.6666	4	O	 
31	7	Y (Y)	6	N	Y	0.7857	0.8888	4	O	 
32	7	Y (Y)	6	N	Y	0.4880	1.0000	2	O	 
33	6	Y (Y)	6	N	Y	0.8253	0.6666	4	O	 
34	5	Y (Y)	6	N	Y	0.5158	1.0000	3	O	 
35	4	Y (Y)	6	N	Y	0.8055	1.0000	4	O	 
36	4	Y (Y)	6	N	Y	0.7380	0.8333	4	O	 
37	3	Y (Y)	6	N	Y	0.6468	0.8611	3	O	 
38	3	Y (Y)	5	N	N	0.5714	0.8611	4	O	 
39	3	N (N)	6	N	Y	0.4563	0.8611	2	O	 
40	2	Y (Y)	6	N	Y	0.5277	0.8333	3	O	 
41	1	Y (Y)	6	Y	Y	0.9037	0.1578	4	O	 
42	1	Y (Y)	6	N	Y	0.7619	0.1666	4	O	 
43	1	Y (Y)	6	N	Y	0.6904	0.8333	3	O	 
44	1	Y (Y)	6	N	Y	0.6825	0.8333	4	O	 
45	1	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
46	1	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
47	1	Y (Y)	6	N	Y	0.4563	1.0000	2	O	 
48	1	Y (Y)	6	N	Y	0.4325	0.8611	2	O	 
