Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CNT3117-01-00	패션비지니스시스템	3	천종숙	수2,금5,6	삼308	30	33	24 (Y)	0	0	15	15	O	36	1	30	11
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	Y (Y)	3	N	Y	1.0000	0.8333	4	O	 
2	23	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
3	19	Y (Y)	6	N	Y	0.8333	0.8333	4	O	 
4	18	Y (Y)	6	N	Y	0.7777	0.9473	4	O	 
5	18	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
6	17	Y (Y)	6	N	Y	0.9107	0.9166	4	O	 
7	17	N (N)	5	N	Y	0.6507	0.8333	3	O	 
8	16	Y (Y)	3	Y	Y	0.9444	1.0000	4	O	 
9	15	Y (Y)	6	N	Y	0.8888	1.0000	4	O	 
10	15	Y (Y)	6	N	Y	0.6825	1.0000	3	O	 
11	15	Y (Y)	6	N	Y	0.6746	0.8333	3	O	 
12	15	Y (Y)	6	N	Y	0.4365	0.7222	3	O	 
13	12	Y (Y)	6	N	Y	0.7936	0.6666	4	O	 
14	11	Y (Y)	6	N	Y	0.6740	0.9444	3	O	 
15	11	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
16	10	Y (Y)	6	N	Y	0.8174	1.0000	4	O	 
17	10	Y (Y)	6	N	Y	0.6587	0.8333	3	O	 
18	10	Y (Y)	6	N	Y	0.6444	1.0000	3	O	 
19	10	Y (Y)	6	N	Y	0.6190	0.8333	3	O	 
20	10	Y (Y)	6	N	Y	0.5912	1.0000	3	O	 
21	10	Y (Y)	5	N	Y	1.0000	0.6666	4	O	 
22	9	Y (Y)	6	N	Y	0.7936	1.0000	4	O	 
23	7	Y (Y)	6	N	Y	0.6309	0.8888	3	O	 
24	6	Y (Y)	6	Y	Y	0.8809	0.7777	4	O	 
25	6	Y (Y)	6	N	Y	0.6031	0.7777	3	O	 
26	5	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
27	5	Y (Y)	6	N	Y	0.6111	1.0000	3	O	 
28	5	Y (Y)	6	N	Y	0.5119	0.8611	3	O	 
29	3	Y (Y)	6	Y	Y	0.8571	1.0000	4	O	 
30	2	Y (Y)	6	N	Y	0.7703	0.8947	4	O	 
31	1	Y (Y)	6	N	Y	0.6468	1.0000	3	X	 
32	1	Y (Y)	6	N	Y	0.6428	1.0000	3	X	 
33	1	N (N)	5	N	Y	0.5000	0.8750	3	X	 
