Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EDU4113-01-00	교육행정문제세미나	3	김혜숙	화7,목8,9	교517	30	31	0 (N)	0	0	0	0	O	36	1	13	5.65
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	13	Y (Y)	6	N	Y	0.6904	0.8888	3	O	 
2	13	Y (Y)	5	N	Y	0.7619	0.8333	4	O	 
3	10	Y (Y)	6	N	Y	0.8015	1.0000	4	O	 
4	10	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
5	9	Y (Y)	6	N	Y	0.9841	0.9444	4	O	 
6	9	Y (Y)	6	N	Y	0.5079	0.8888	3	O	 
7	8	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
8	8	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
9	6	Y (Y)	6	N	Y	0.3095	0.9444	2	O	 
10	6	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
11	6	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
12	5	Y (Y)	6	N	Y	0.8134	0.8333	4	O	 
13	5	Y (Y)	6	N	Y	0.7896	1.0000	4	O	 
14	5	Y (Y)	6	N	Y	0.7460	0.5000	4	O	 
15	5	Y (Y)	6	N	Y	0.6507	0.8333	3	O	 
16	5	Y (Y)	6	N	Y	0.5317	0.8611	3	O	 
17	4	Y (Y)	6	N	Y	0.6984	0.6111	3	O	 
18	4	Y (Y)	6	N	Y	0.6388	1.0000	3	O	 
19	4	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
20	4	Y (Y)	6	N	Y	0.5436	0.9166	3	O	 
21	4	Y (Y)	6	N	Y	0.2698	1.0000	2	O	 
22	3	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
23	3	Y (Y)	6	N	Y	0.5793	1.0000	3	O	 
24	3	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
25	3	Y (Y)	6	N	Y	0.2936	1.0000	2	O	 
26	3	Y (Y)	6	N	Y	0.2460	1.0000	2	O	 
27	2	Y (Y)	6	N	Y	0.3333	1.0000	2	O	 
28	1	Y (Y)	6	N	Y	0.2777	1.0000	2	O	 
29	1	Y (Y)	6	N	Y	0.2658	0.8333	2	O	 
30	1	Y (Y)	4	Y	Y	0.9206	1.0000	4	X	 
0	12	Y (Y)	6	N	Y	0.5873	0.9166	3	O	* 
