Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GIC4303-01-00	국제경제연구방법론	3	방병국	화1,목2,3	새천215	20	23	20 (N)	0	0	0	0	X	36	3	20	10.61
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	Y (Y)	3	Y	Y	0.9365	1.0000	4	O	 
2	17	Y (Y)	4	N	Y	0.8095	0.6666	4	O	 
3	15	Y (Y)	6	N	Y	0.6984	1.0000	3	O	 
4	15	Y (Y)	6	N	Y	0.5674	0.9166	3	O	 
5	15	Y (Y)	6	N	Y	0.5515	1.0000	3	O	 
6	15	Y (Y)	6	N	Y	0.5277	0.8611	3	O	 
7	15	Y (Y)	4	N	Y	0.8095	0.6666	4	O	 
8	14	Y (Y)	6	Y	Y	0.8888	0.9444	4	O	 
9	13	Y (Y)	6	Y	Y	0.8253	1.0000	4	O	 
10	13	Y (Y)	6	N	Y	0.6706	0.9444	3	O	 
11	10	Y (Y)	6	N	Y	0.5634	0.9166	3	O	 
12	9	Y (Y)	6	Y	Y	0.8412	0.7777	4	O	 
13	9	Y (Y)	6	N	Y	0.7857	0.9444	4	O	 
14	9	Y (Y)	6	N	Y	0.4880	0.8333	3	O	 
15	8	Y (Y)	6	N	Y	0.7896	1.0000	4	O	 
16	8	Y (Y)	6	N	Y	0.7658	0.8611	4	O	 
17	8	Y (Y)	6	N	Y	0.7460	1.0000	4	O	 
18	8	Y (Y)	6	N	Y	0.6984	0.8333	3	O	 
19	6	Y (Y)	6	N	Y	0.5892	0.8611	3	O	 
20	6	Y (Y)	5	N	Y	0.7777	0.9444	4	O	 
21	4	Y (Y)	6	N	Y	0.7182	0.8888	4	X	 
22	4	Y (Y)	6	N	Y	0.5634	1.0000	3	X	 
23	3	Y (Y)	5	N	Y	0.5873	0.9166	3	X	 
