Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIO3713-01-00	바이러스학	3	정인권	월2,3,수2	과S118B	30	26	15 (Y)	0	0	0	0	O	36	1	10	3.73
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	10	Y (Y)	6	Y	Y	0.9037	0.8421	4	O	 
2	10	Y (Y)	6	N	Y	0.7185	0.8947	4	O	 
3	10	Y (Y)	6	N	Y	0.6222	1.0000	3	O	 
4	8	Y (Y)	6	Y	Y	0.8888	0.9473	4	O	 
5	7	Y (Y)	6	N	Y	0.6296	0.8421	3	O	 
6	6	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
7	6	Y (Y)	6	N	Y	0.6666	0.9210	3	O	 
8	5	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
9	5	Y (Y)	6	N	Y	0.6000	0.9473	3	O	 
10	5	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
11	4	Y (Y)	6	N	Y	0.7851	0.9473	4	O	 
12	3	Y (Y)	6	N	Y	0.9222	0.8684	4	O	 
13	3	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
14	2	Y (Y)	6	N	Y	0.8037	1.0000	4	O	 
15	2	N (N)	6	N	Y	0.5238	0.8611	3	O	 
16	1	Y (Y)	6	Y	Y	1.0000	0.5000	4	O	 
17	1	Y (Y)	6	Y	Y	1.0000	0.1578	4	O	 
18	1	Y (Y)	6	Y	Y	0.8592	1.0000	4	O	 
19	1	Y (Y)	6	N	Y	0.8814	0.8947	4	O	 
20	1	Y (Y)	6	N	Y	0.8074	0.7894	4	O	 
21	1	Y (Y)	6	N	Y	0.7555	0.8947	4	O	 
22	1	Y (Y)	6	N	Y	0.7259	0.9473	4	O	 
23	1	Y (Y)	6	N	Y	0.7259	0.7894	4	O	 
24	1	Y (Y)	6	N	Y	0.6925	1.0000	3	O	 
25	1	Y (Y)	6	N	Y	0.6592	0.9473	4	O	 
26	1	N (N)	6	N	Y	0.6296	0.8421	3	O	 
