Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BSP3201-01-00	피아노문헌(1)	3	이중희	목7,8,9	음140	30	24	0 (N)	0	0	0	0	O	36	1	5	1.25
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	5	N (N)	6	N	Y	0.4607	0.8684	3	O	 
2	2	N (N)	6	N	Y	0.4714	1.0000	3	O	 
3	2	N (N)	5	N	Y	0.6642	0.7894	3	O	 
4	1	N (N)	6	N	Y	0.4714	1.0000	3	O	* 
5	1	N (N)	6	N	Y	0.6428	1.0000	3	O	 
6	1	N (N)	6	N	Y	0.5571	1.0000	3	O	 
7	1	N (N)	6	N	Y	0.5571	1.0000	3	O	 
8	1	N (N)	6	N	Y	0.5428	1.0000	3	O	 
9	1	N (N)	6	N	Y	0.5428	1.0000	3	O	 
10	1	N (N)	6	N	Y	0.5392	0.8947	3	O	 
11	1	N (N)	6	N	Y	0.5357	1.0000	3	O	 
12	1	N (N)	6	N	Y	0.5250	1.0000	3	O	 
13	1	N (N)	6	N	Y	0.5250	1.0000	3	O	 
14	1	N (N)	6	N	Y	0.5214	1.0000	3	O	 
15	1	N (N)	6	N	Y	0.5214	0.8684	3	O	 
16	1	N (N)	6	N	Y	0.5178	1.0000	3	O	 
17	1	N (N)	6	N	Y	0.5178	1.0000	3	O	 
18	1	N (N)	6	N	Y	0.4964	1.0000	3	O	 
19	1	N (N)	6	N	Y	0.4928	0.8684	3	O	 
20	1	N (N)	6	N	Y	0.4785	0.8947	3	O	 
21	1	N (N)	6	N	Y	0.4642	1.0000	3	O	 
22	1	N (N)	6	N	Y	0.4571	0.8421	3	O	 
23	1	N (N)	6	N	Y	0.3964	0.9736	2	O	 
24	1	N (N)	6	N	Y	0.3357	0.6315	3	O	 
