Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1127-02-00	수영(중급)	1	강민홍	수3,4	수영장(신촌)	24	40	0 (N)	0	8	8	8	X	36	1	36	13.18
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	1.0000	0.6315	4	O	 
2	36	N (N)	6	N	Y	0.8666	0.9473	4	O	 
3	36	N (N)	6	N	Y	0.8142	1.0000	4	O	 
4	36	N (N)	6	N	Y	0.7714	1.0000	4	O	 
5	36	N (N)	6	N	Y	0.6184	0.8750	2	O	 
6	36	N (N)	4	Y	Y	1.0000	0.8333	4	O	 
7	35	N (N)	3	Y	Y	1.0000	1.0000	4	O	 
8	28	N (N)	6	N	Y	0.6184	0.9583	2	O	 
9	26	N (N)	6	Y	Y	0.9642	0.9473	4	O	 
10	26	N (N)	5	N	Y	0.8412	0.8888	4	O	 
11	25	N (N)	6	N	Y	0.2285	0.6842	2	O	 
12	25	N (N)	6	N	Y	0.2178	0.8684	2	O	 
13	20	N (N)	6	N	Y	0.2777	0.9736	2	O	 
14	16	N (N)	4	Y	Y	0.9246	0.8333	4	X	 
15	12	N (N)	6	N	Y	0.2500	0.9722	2	O	 
16	10	N (N)	6	N	Y	0.2777	1.0000	2	O	 
17	10	N (N)	6	N	Y	0.2539	0.8333	2	O	 
18	10	N (N)	6	N	Y	0.2259	0.9473	2	X	 
19	8	N (N)	6	N	Y	0.5000	0.9210	3	O	 
20	8	N (N)	6	N	Y	0.4642	1.0000	2	X	 
21	7	N (N)	6	N	Y	0.3253	0.9444	2	X	 
22	6	N (N)	6	N	Y	0.2857	1.0000	2	X	 
23	6	N (N)	6	N	Y	0.2785	1.0000	2	X	 
24	4	N (N)	6	N	Y	0.2592	0.9473	2	X	 
25	4	N (N)	6	N	Y	0.2535	0.8684	2	X	 
26	4	N (N)	5	Y	Y	0.9444	1.0000	4	X	 
27	3	N (N)	6	N	Y	0.5629	0.9736	3	O	 
28	3	N (N)	6	N	Y	0.3055	0.7500	2	X	 
29	2	N (N)	6	Y	Y	0.8888	1.0000	4	X	 
30	2	N (N)	6	N	Y	0.7785	1.0000	4	X	 
31	2	N (N)	5	N	Y	0.8809	1.0000	4	X	 
32	1	N (N)	6	Y	Y	0.9444	1.0000	4	X	 
33	1	N (N)	6	Y	Y	0.9047	0.8333	4	X	 
34	1	N (N)	6	Y	N	0.9928	0.5263	4	X	 
35	1	N (N)	6	N	Y	0.9285	1.0000	4	X	 
36	1	N (N)	6	N	Y	0.8571	0.8333	4	X	 
37	1	N (N)	6	N	Y	0.8142	1.0000	4	X	 
38	1	N (N)	6	N	Y	0.3571	1.0000	2	X	 
39	1	N (N)	6	N	Y	0.2857	1.0000	2	X	 
40	1	N (N)	6	N	Y	0.1825	0.7222	2	X	 
