Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
YCF1604-01-00	스페인어(2)	3	양성혜	월3,4,수4	백S509	37	35	0 (N)	0	12	12	13	X	36	1	30	11.34
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	6	N	Y	0.2460	0.9444	2	O	 
2	26	N (N)	5	N	Y	0.2420	0.6944	2	O	 
3	24	N (N)	6	N	Y	0.5952	1.0000	3	O	 
4	22	N (N)	6	N	Y	0.6190	1.0000	3	O	 
5	20	N (N)	6	N	Y	0.8412	0.8333	4	O	 
6	20	N (N)	6	N	Y	0.3095	1.0000	2	O	 
7	20	N (N)	6	N	Y	0.2592	0.9473	2	O	 
8	19	N (N)	6	Y	Y	0.8518	0.9473	4	O	 
9	18	N (N)	6	N	Y	0.2592	0.8421	2	O	 
10	15	N (N)	6	N	Y	0.7629	0.9473	4	O	 
11	15	N (N)	6	N	Y	0.3492	0.9444	2	O	 
12	13	N (N)	6	N	Y	0.3174	1.0000	2	O	 
13	13	N (N)	6	N	Y	0.2698	0.9444	2	O	 
14	12	N (N)	6	N	Y	0.3095	1.0000	2	O	 
15	12	N (N)	5	N	Y	0.8285	0.9473	4	O	 
16	10	N (N)	6	N	Y	0.3253	1.0000	2	O	 
17	10	N (N)	6	N	Y	0.3095	1.0000	2	O	 
18	10	N (N)	4	N	Y	0.8407	0.9473	4	O	 
19	9	N (N)	6	N	Y	0.8296	0.8157	4	O	 
20	9	N (N)	6	N	Y	0.4107	0.9736	2	O	 
21	8	N (N)	6	Y	Y	0.9047	1.0000	4	O	 
22	8	N (N)	6	N	Y	0.3015	1.0000	2	X	 
23	8	N (N)	6	N	N	0.6148	0.7894	3	O	 
24	7	N (N)	6	N	Y	0.5555	0.8611	3	O	 
25	6	N (N)	6	N	Y	0.6250	0.7894	3	O	 
26	6	N (N)	6	N	Y	0.3015	1.0000	2	X	 
27	6	N (N)	6	N	Y	0.2518	0.8421	2	X	 
28	5	N (N)	6	N	Y	0.8287	1.0000	4	O	 
29	5	N (N)	5	N	Y	0.4111	1.0000	2	X	 
30	3	N (N)	6	Y	Y	0.8740	0.9473	4	O	 
31	2	N (N)	6	N	Y	0.7301	0.9444	3	O	 
32	2	N (N)	6	N	Y	0.6370	1.0000	3	O	 
33	2	N (N)	6	N	Y	0.3531	0.8611	2	X	 
34	1	N (N)	6	N	Y	0.6349	0.7777	3	O	 
35	1	N (N)	6	N	Y	0.3412	0.9444	2	X	 
