Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IEE3103-01-00	INTRODUCTION TO KOREAN STUDIES	3	캐프너스티븐	금5,6,7	백S113	60	42	0 (N)	0	0	0	0	O	36	1	36	14.86
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	4	N	Y	0.5000	0.9375	3	O	 
2	36	N (N)	3	N	Y	0.5000	0.9375	3	O	 
3	36	N (N)	2	N	Y	0.2500	0.9375	2	O	 
4	24	N (N)	4	N	Y	0.7500	0.9375	4	O	 
5	22	N (N)	3	N	Y	0.7500	0.9375	4	O	 
6	21	N (N)	3	N	Y	0.5000	0.8750	3	O	 
7	20	N (N)	5	N	Y	0.5000	0.9375	3	O	 
8	20	N (N)	4	N	Y	0.5000	0.9722	3	O	 
9	20	N (N)	4	N	Y	0.5000	0.9375	3	O	 
10	20	N (N)	3	N	Y	0.5000	0.9375	3	O	 
11	18	N (N)	4	N	Y	0.7500	0.9375	4	O	 
12	18	N (N)	4	N	Y	0.5000	0.9375	3	O	 
13	18	N (N)	4	N	Y	0.5000	0.9375	3	O	 
14	18	N (N)	4	N	Y	0.5000	0.8750	3	O	 
15	17	N (N)	5	N	Y	0.7500	0.9375	4	O	 
16	16	N (N)	5	N	Y	0.5000	0.8750	3	O	 
17	16	N (N)	4	N	Y	0.7500	0.8750	4	O	 
18	16	N (N)	4	N	Y	0.7500	0.8750	4	O	 
19	16	N (N)	3	N	Y	0.7500	0.9722	4	O	 
20	15	N (N)	5	N	Y	0.7500	0.8750	4	O	 
21	15	N (N)	5	N	Y	0.5000	0.9375	3	O	 
22	15	N (N)	5	N	Y	0.5000	0.9375	3	O	 
23	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
24	14	N (N)	5	N	Y	0.5000	0.9375	3	O	 
25	13	N (N)	5	N	Y	0.5000	0.9375	3	O	 
26	12	N (N)	6	N	Y	0.7500	0.8750	4	O	 
27	12	N (N)	6	N	Y	0.5000	0.8750	3	O	 
28	11	N (N)	5	N	Y	0.7500	0.9375	4	O	 
29	11	N (N)	5	N	Y	0.7500	0.9375	4	O	 
30	10	N (N)	6	N	Y	0.2500	0.9375	2	O	 
31	10	N (N)	6	N	Y	0.2500	0.8750	2	O	 
32	10	N (N)	5	N	Y	0.7500	0.8750	4	O	 
33	10	N (N)	5	N	Y	0.5000	0.9375	3	O	 
34	10	N (N)	4	N	Y	0.7500	0.9375	4	O	 
35	10	N (N)	3	N	Y	0.7500	1.0000	4	O	 
36	7	N (N)	5	N	Y	0.5000	0.9722	3	O	 
37	5	N (N)	5	N	Y	0.7500	0.9375	4	O	 
38	4	N (N)	4	N	Y	0.5000	0.8750	3	O	 
39	3	N (N)	5	N	Y	0.5000	0.8750	3	O	 
40	2	N (N)	6	N	Y	0.7500	0.8750	4	O	 
41	1	N (N)	4	N	Y	0.7500	0.9375	4	O	 
42	1	N (N)	4	N	Y	0.7500	0.8750	4	O	 
