Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EDU2113-01-00	교육행정입문	3	김민아	월8,9,수9	교601	25	41	0 (N)	0	0	0	0	O	18	1	18	13.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	N	Y	0.7222	1.0000	3	O	 
2	18	Y (Y)	6	N	Y	0.6984	0.8333	3	O	 
3	18	Y (Y)	6	N	Y	0.6825	0.6666	4	O	 
4	18	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
5	18	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
6	18	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
7	18	Y (Y)	6	N	Y	0.4246	0.9722	2	O	 
8	18	Y (Y)	6	N	Y	0.4126	1.0000	2	O	 
9	18	Y (Y)	6	N	Y	0.4087	1.0000	2	O	 
10	18	Y (Y)	6	N	Y	0.3690	1.0000	2	O	 
11	18	Y (Y)	6	N	Y	0.3650	0.6666	2	O	 
12	18	Y (Y)	6	N	Y	0.3253	1.0000	2	O	 
13	18	Y (Y)	6	N	Y	0.2896	0.9722	2	O	 
14	18	Y (Y)	6	N	Y	0.2698	1.0000	2	O	 
15	18	Y (Y)	5	Y	Y	0.8690	1.0000	4	O	 
16	18	Y (Y)	5	N	Y	0.4087	0.9166	2	O	 
17	18	Y (Y)	4	N	Y	0.8571	1.0000	4	O	 
18	18	N (N)	6	N	Y	0.6296	0.9736	3	O	 
19	18	N (N)	6	N	Y	0.2777	0.6315	2	O	 
20	18	N (N)	6	N	Y	0.2698	0.8333	2	O	 
21	16	Y (Y)	6	N	Y	0.4801	1.0000	2	O	 
22	16	Y (Y)	4	N	Y	0.4285	1.0000	2	O	 
23	15	Y (Y)	6	N	Y	0.8650	0.8333	4	O	 
24	15	Y (N)	6	N	Y	0.6407	0.9736	3	O	 
25	14	Y (Y)	6	N	Y	0.4960	0.7777	3	O	 
26	14	Y (Y)	5	N	Y	0.4563	1.0000	2	X	 
27	12	Y (Y)	6	N	Y	0.7460	1.0000	3	X	 
28	12	Y (Y)	6	N	Y	0.4801	1.0000	2	X	 
29	11	Y (Y)	6	N	Y	0.6666	0.8611	3	X	 
30	11	Y (Y)	6	N	Y	0.3769	1.0000	2	X	 
31	10	Y (Y)	6	N	Y	0.4484	1.0000	2	X	 
32	10	Y (Y)	6	N	Y	0.4087	0.9166	2	X	 
33	9	Y (Y)	6	N	Y	0.4801	1.0000	2	X	 
34	6	Y (Y)	5	N	Y	0.3928	0.9166	2	X	 
35	5	Y (Y)	6	N	Y	0.7063	1.0000	3	X	 
36	3	Y (Y)	6	N	Y	0.2420	0.8333	2	X	 
37	2	N (N)	6	N	Y	0.3814	0.8157	2	X	 
38	1	Y (Y)	6	Y	Y	1.0000	0.9722	4	X	 
39	1	Y (Y)	6	N	Y	0.7142	1.0000	3	X	 
40	1	Y (Y)	6	N	Y	0.4166	0.6944	3	X	 
41	1	Y (Y)	6	N	Y	0.3928	1.0000	2	X	 
