Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
STA1001-02-02	통계학입문	3	박지영	월5,6,수5(수6)	상본B110(상본B103)	37	25	0 (N)	0	13	12	12	X	36	1	36	13.44
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.3740	0.8157	2	O	 
2	36	N (N)	4	Y	Y	0.9714	0.7894	4	O	 
3	26	N (N)	6	N	Y	0.4592	0.8157	3	O	 
4	26	N (N)	6	N	Y	0.1777	0.7631	2	O	 
5	25	N (N)	6	N	Y	0.6507	0.6666	3	O	 
6	20	N (N)	6	N	Y	0.1629	0.7894	2	O	 
7	18	N (N)	6	Y	Y	0.9206	0.9166	4	O	 
8	18	N (N)	6	N	Y	0.4722	1.0000	2	O	 
9	15	N (N)	6	N	N	0.4960	1.0000	2	O	 
10	15	N (N)	5	N	Y	0.4111	0.9736	2	O	 
11	14	N (N)	6	N	Y	0.8740	0.7894	4	O	 
12	14	N (N)	6	N	Y	0.6825	1.0000	3	O	 
13	13	N (N)	6	N	Y	0.3650	0.6666	2	O	 
14	12	N (N)	6	N	Y	0.6547	1.0000	3	O	 
15	12	N (N)	6	N	Y	0.3666	0.8684	2	O	 
16	7	N (N)	6	N	Y	0.4007	0.8611	2	O	 
17	7	N (N)	6	N	N	0.4880	0.8333	3	O	 
18	6	N (N)	6	N	Y	0.4444	0.8611	2	O	 
19	5	N (N)	6	N	Y	0.3968	1.0000	2	O	 
20	3	N (N)	6	N	Y	0.4166	1.0000	2	O	 
21	3	N (N)	6	N	Y	0.3962	0.9736	2	O	 
22	2	N (N)	6	Y	N	0.8888	1.0000	4	O	 
23	1	N (N)	6	Y	Y	0.8928	0.6842	4	O	 
24	1	N (N)	6	N	Y	0.4801	1.0000	2	X	 
25	1	N (N)	6	N	Y	0.4246	0.9166	2	X	 
