Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1103-03-00	수영	1	황재욱	수1,2	수영장(신촌)	24	26	0 (N)	0	8	8	8	X	36	1	36	7.5
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	5	Y	Y	0.9571	0.9473	4	O	 
2	21	N (N)	6	Y	Y	0.8592	0.7894	4	O	 
3	20	N (N)	6	Y	Y	0.9444	1.0000	4	O	 
4	20	N (N)	6	N	Y	0.8092	0.6875	2	O	 
5	18	N (N)	6	N	Y	0.5238	1.0000	3	O	 
6	12	N (N)	6	Y	Y	0.9629	0.1578	4	O	 
7	12	N (N)	6	N	Y	0.4047	0.8333	2	O	 
8	11	N (N)	6	N	Y	0.4365	1.0000	2	O	 
9	11	N (N)	6	N	Y	0.3964	1.0000	2	O	 
10	8	N (N)	6	N	Y	0.3740	0.8157	2	O	 
11	5	N (N)	6	N	Y	0.4185	0.9210	2	O	 
12	4	N (N)	6	N	Y	1.0000	0.8888	4	O	 
13	4	N (N)	6	N	Y	0.3814	0.8157	2	O	 
14	1	N (N)	6	Y	Y	1.0000	0.6842	4	O	 
15	1	N (N)	6	Y	Y	0.9407	1.0000	4	O	 
16	1	N (N)	6	Y	Y	0.9365	0.8333	4	O	 
17	1	N (N)	6	Y	Y	0.9365	0.7222	4	X	 
18	1	N (N)	6	Y	Y	0.9071	0.9473	4	X	 
19	1	N (N)	6	N	Y	0.8253	1.0000	4	X	 
20	1	N (N)	6	N	Y	0.8000	0.6315	4	X	 
21	1	N (N)	6	N	Y	0.7357	1.0000	3	O	 
22	1	N (N)	6	N	Y	0.6888	0.9473	3	O	 
23	1	N (N)	6	N	Y	0.6642	0.9473	3	O	 
24	1	N (N)	6	N	Y	0.5892	1.0000	3	O	 
25	1	N (N)	6	N	Y	0.4464	0.9736	2	O	 
26	1	N (N)	5	Y	Y	0.9682	1.0000	4	X	 
