Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
UCL1106-01-00	펜싱	1	이한주	화1,2	체육관	24	33	0 (N)	0	8	8	8	X	36	1	36	8.15
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.8373	1.0000	4	O	 
2	36	N (N)	3	Y	Y	0.9920	0.8333	4	O	 
3	20	N (N)	6	N	Y	0.4678	0.9736	2	O	 
4	19	N (N)	6	N	Y	0.4851	0.8157	2	O	 
5	17	N (N)	6	N	Y	0.8000	0.8421	4	O	 
6	16	N (N)	6	N	Y	0.8592	1.0000	4	O	 
7	15	N (N)	6	Y	Y	0.8650	0.7222	4	O	 
8	12	N (N)	6	N	Y	0.4035	0.9736	2	O	 
9	11	N (N)	6	Y	Y	0.9481	1.0000	4	O	 
10	11	N (N)	6	N	Y	0.4035	0.9736	2	O	 
11	10	N (N)	6	N	Y	0.4035	0.9736	2	O	 
12	10	N (N)	6	N	Y	0.3464	0.9736	2	O	 
13	7	N (N)	6	N	Y	0.3071	1.0000	2	O	 
14	6	N (N)	6	N	Y	0.6269	1.0000	3	O	 
15	6	N (N)	6	N	Y	0.4037	1.0000	2	O	 
16	5	N (N)	6	Y	Y	0.8928	0.8421	4	O	 
17	5	N (N)	6	N	Y	0.3535	0.8684	2	X	 
18	4	N (N)	6	Y	Y	0.8785	0.7894	4	O	 
19	3	N (N)	6	N	Y	0.4484	1.0000	2	X	 
20	3	N (N)	6	N	Y	0.4321	0.8157	2	X	 
21	3	N (N)	6	N	Y	0.3892	0.8157	2	X	 
22	2	N (N)	6	Y	Y	0.9841	1.0000	4	X	 
23	2	N (N)	6	N	Y	0.4801	0.8684	2	X	 
24	1	N (N)	6	Y	Y	0.9037	1.0000	4	X	 
25	1	N (N)	6	Y	Y	0.8857	0.7894	4	X	 
26	1	N (N)	6	N	Y	0.9444	1.0000	4	X	 
27	1	N (N)	6	N	Y	0.9047	0.6666	4	X	 
28	1	N (N)	6	N	Y	0.8857	1.0000	4	X	 
29	1	N (N)	6	N	Y	0.6507	1.0000	3	O	 
30	1	N (N)	6	N	Y	0.4484	1.0000	2	X	 
31	1	N (N)	6	N	Y	0.4107	0.9736	2	X	 
32	1	N (N)	6	N	Y	0.3968	1.0000	2	X	 
33	1	N (N)	4	Y	Y	0.9285	0.8333	4	X	 
