Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ARC3102-01-00	건축법규	3	고재형	금6,7,8	공D503	90	118	90 (N)	0	0	0	0	O	36	1	36	5.61
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	5	N	Y	0.6746	0.8947	4	O	 
2	29	Y (Y)	4	Y	Y	0.8428	0.9473	4	O	 
3	27	Y (Y)	4	Y	N	1.0000	0.8947	4	O	 
4	20	Y (Y)	6	N	Y	0.2142	0.8947	2	O	 
5	19	Y (Y)	5	N	N	0.7168	0.4736	5	O	 
6	16	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
7	15	Y (Y)	5	N	Y	0.7409	0.9473	4	O	 
8	14	Y (Y)	5	N	Y	0.6571	0.7894	3	O	 
9	13	Y (Y)	6	N	Y	0.4607	1.0000	2	O	 
10	13	Y (Y)	6	N	Y	0.2857	0.7368	2	O	 
11	10	Y (Y)	6	N	Y	0.8192	0.9473	5	O	 
12	10	Y (Y)	6	N	Y	0.7428	0.7894	4	O	 
13	10	Y (Y)	6	N	Y	0.6821	1.0000	3	O	 
14	10	Y (Y)	6	N	Y	0.6071	0.6315	3	O	 
15	10	Y (Y)	6	N	Y	0.5821	0.9473	3	O	 
16	10	Y (Y)	6	N	Y	0.4321	0.9736	2	O	 
17	10	Y (Y)	6	N	Y	0.3714	0.9473	3	O	 
18	9	Y (Y)	6	N	Y	0.9000	0.9473	4	O	 
19	9	Y (Y)	6	N	Y	0.3642	0.6578	2	O	 
20	9	Y (Y)	6	N	Y	0.3071	0.7894	2	O	 
21	9	Y (Y)	5	N	Y	0.7409	0.9473	4	O	 
22	8	Y (Y)	6	N	Y	1.0000	0.8947	4	O	 
23	8	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
24	8	Y (Y)	6	N	Y	0.6535	0.9736	3	O	 
25	8	Y (Y)	6	N	Y	0.4535	0.9736	2	O	 
26	8	Y (Y)	6	N	Y	0.4142	0.9473	2	O	 
27	8	Y (Y)	6	N	N	0.9928	0.9473	4	O	 
28	8	Y (Y)	4	N	Y	0.6084	0.9473	4	O	 
29	7	Y (Y)	6	Y	Y	0.9071	0.7894	4	O	 
