Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ARC3209-01-00	건설공정관리	3	이강	화3,목1,2	공D503	50	25	25 (N)	0	0	0	0	O	36	1	35	9.04
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	Y (Y)	2	Y	Y	1.0000	0.7894	5	O	 
2	25	Y (Y)	3	Y	Y	0.9457	0.8947	5	O	 
3	24	Y (N)	3	Y	Y	0.9047	1.0000	4	O	 
4	19	Y (Y)	4	Y	Y	0.9142	0.9473	4	O	 
5	18	Y (N)	3	N	Y	0.6984	0.8333	3	O	 
6	14	Y (Y)	5	N	Y	0.7857	0.6315	4	O	 
7	13	N (N)	5	N	Y	0.7500	0.9722	4	O	 
8	12	Y (N)	3	N	Y	0.6507	1.0000	3	O	 
9	10	Y (Y)	6	N	Y	0.5892	0.6578	3	O	 
10	10	Y (Y)	6	N	Y	0.4714	0.7894	3	O	 
11	10	N (N)	5	N	Y	0.7500	0.9722	4	O	 
12	10	N (N)	5	N	Y	0.7500	0.9722	4	O	 
13	7	Y (Y)	5	Y	Y	0.9500	0.9473	4	O	 
14	3	Y (Y)	6	N	Y	0.8142	0.7894	4	O	 
15	3	N (N)	6	N	Y	0.6666	0.8611	3	O	 
16	2	Y (Y)	6	Y	Y	0.9285	0.7894	4	O	 
17	2	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
18	2	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
19	1	Y (N)	6	Y	Y	1.0000	1.0000	4	O	 
20	1	Y (Y)	6	Y	Y	1.0000	0.9473	5	O	 
21	1	Y (Y)	6	Y	Y	1.0000	0.7894	4	O	 
22	1	Y (N)	6	Y	Y	0.9523	0.8888	4	O	 
23	1	Y (Y)	6	N	Y	0.9857	1.0000	4	O	 
24	1	Y (Y)	6	N	Y	0.9357	0.9473	4	O	 
25	1	Y (Y)	6	N	Y	0.7571	0.9473	3	O	 
