Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
AST3108-01-00	천문관측기기와응용	3	김석환	월5,6(수5,6)	과618(과618)	46	36	0 (N)	0	0	0	0	O	36	1	15	2.25
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	15	N (N)	6	N	Y	0.4407	0.9736	2	O	 
2	13	N (N)	6	N	Y	0.9777	0.6315	4	O	 
3	5	N (N)	6	N	Y	0.8592	1.0000	4	O	 
4	5	N (N)	6	N	Y	0.7000	0.9736	3	O	 
5	5	N (N)	6	N	Y	0.4481	0.9736	2	O	 
6	3	N (N)	5	N	Y	0.6481	1.0000	3	O	 
7	2	N (N)	6	N	Y	0.6962	0.7894	3	O	 
8	2	N (N)	6	N	Y	0.6592	0.9473	3	O	 
9	2	N (N)	6	N	Y	0.5925	0.7894	4	O	 
10	2	N (N)	6	N	Y	0.5259	0.9473	3	O	 
11	2	N (N)	5	N	Y	0.3925	0.9736	2	O	 
12	1	N (N)	6	Y	Y	0.9925	0.9473	4	O	 
13	1	N (N)	6	Y	Y	0.8777	0.8421	4	O	 
14	1	N (N)	6	Y	Y	0.8666	0.7894	4	O	 
15	1	N (N)	6	N	Y	0.8370	1.0000	4	O	 
16	1	N (N)	6	N	Y	0.8296	0.9473	4	O	 
17	1	N (N)	6	N	Y	0.8000	1.0000	3	O	 
18	1	N (N)	6	N	Y	0.7777	0.9736	4	O	 
19	1	N (N)	6	N	Y	0.6962	0.6315	4	O	 
20	1	N (N)	6	N	Y	0.6851	0.5789	4	O	 
21	1	N (N)	6	N	Y	0.6814	0.8421	3	O	 
22	1	N (N)	6	N	Y	0.6185	0.8157	3	O	 
23	1	N (N)	6	N	Y	0.5629	0.7894	3	O	 
24	1	N (N)	6	N	Y	0.5222	0.9210	3	O	 
25	1	N (N)	6	N	Y	0.4962	0.8157	3	O	 
26	1	N (N)	6	N	Y	0.4629	0.9736	2	O	 
27	1	N (N)	6	N	Y	0.4629	0.8157	3	O	 
28	1	N (N)	6	N	Y	0.4481	0.6315	3	O	 
29	1	N (N)	6	N	Y	0.4407	0.9736	2	O	 
30	1	N (N)	6	N	Y	0.4222	0.9736	3	O	 
31	1	N (N)	6	N	Y	0.4185	0.9736	2	O	 
32	1	N (N)	6	N	Y	0.3370	0.8157	2	O	 
33	1	N (N)	5	N	Y	0.6481	0.7894	3	O	 
34	1	N (N)	5	N	Y	0.6370	0.9473	3	O	 
35	1	N (N)	5	N	Y	0.3518	0.6578	2	O	 
36	1	N (N)	3	N	Y	0.4074	0.7631	2	O	 
