Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BCH3113-01-00	발생생화학	3	송기원,김대원	월7,8,수2	과S321	45	35	0 (N)	0	0	0	0	X	36	1	19	3.97
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	19	N (N)	5	Y	Y	1.0000	0.7368	4	O	 
2	12	Y (Y)	6	N	Y	0.7703	0.9473	4	O	 
3	10	Y (Y)	5	N	Y	0.6666	0.8421	3	O	 
4	10	Y (Y)	5	N	Y	0.6555	0.7894	3	O	 
5	9	N (N)	5	Y	Y	0.8928	0.9473	4	O	 
6	8	Y (Y)	6	Y	Y	0.9259	0.6842	4	O	 
7	7	Y (Y)	6	N	Y	0.6851	0.8947	3	O	 
8	7	Y (Y)	6	N	Y	0.5000	0.1578	3	O	 
9	7	Y (Y)	5	Y	Y	0.8888	0.8421	4	O	 
10	5	Y (N)	6	Y	Y	0.9703	1.0000	4	O	 
11	5	N (N)	6	N	Y	0.8148	1.0000	4	O	 
12	5	N (N)	6	N	Y	0.7925	0.9210	4	O	 
13	3	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
14	3	Y (Y)	6	N	Y	0.6518	0.9736	3	O	 
15	3	Y (Y)	6	N	Y	0.5518	0.3421	3	O	 
16	3	Y (Y)	5	N	Y	0.5481	0.7894	3	O	 
17	3	Y (Y)	4	Y	Y	0.9407	0.5789	4	O	 
18	2	Y (Y)	6	N	Y	0.7037	0.9473	3	O	 
19	2	Y (Y)	5	Y	Y	0.8814	0.9473	4	O	 
20	1	Y (Y)	6	Y	Y	0.9259	0.8421	4	O	 
21	1	Y (Y)	6	Y	Y	0.8000	1.0000	4	O	 
22	1	Y (Y)	6	N	Y	0.8962	0.9473	4	O	 
23	1	Y (Y)	6	N	Y	0.8444	1.0000	3	O	 
24	1	Y (Y)	6	N	Y	0.8074	1.0000	4	O	 
25	1	Y (Y)	6	N	Y	0.7925	0.7894	4	O	 
26	1	Y (Y)	6	N	Y	0.7333	0.9473	4	O	 
27	1	Y (N)	6	N	Y	0.6964	0.9722	3	O	 
28	1	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
29	1	Y (Y)	6	N	Y	0.6518	0.9473	3	O	 
30	1	Y (Y)	6	N	Y	0.6518	0.8421	3	O	 
31	1	Y (Y)	6	N	Y	0.6296	0.7894	4	O	 
32	1	Y (Y)	6	N	Y	0.6111	0.7105	3	O	 
33	1	Y (Y)	6	N	Y	0.5629	0.9736	3	O	 
34	1	Y (Y)	5	Y	Y	0.8888	1.0000	4	O	 
35	1	Y (Y)	4	N	Y	0.7111	1.0000	4	O	 
