Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ2119-03-00	재무관리	3	김소연	화1,목2,3	경영101	62	35	62 (Y)	0	50	6	6	O	12	1	12	7.94
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	0.6031	0.8333	3	O	 
2	12	Y (Y)	6	N	Y	0.5793	0.6666	3	O	 
3	12	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
4	12	Y (Y)	6	N	Y	0.4325	0.9166	2	O	 
5	12	Y (Y)	6	N	Y	0.4325	0.8611	2	O	 
6	12	Y (Y)	6	N	Y	0.4285	1.0000	2	O	 
7	12	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
8	12	Y (Y)	6	N	Y	0.4246	0.9722	2	O	 
9	12	Y (Y)	6	N	Y	0.4047	1.0000	2	O	 
10	12	Y (Y)	6	N	Y	0.4047	0.7777	2	O	 
11	12	Y (Y)	6	N	Y	0.3968	0.8611	2	O	 
12	12	Y (Y)	6	N	Y	0.3888	1.0000	2	O	 
13	12	Y (Y)	6	N	Y	0.3809	0.8333	2	O	 
14	12	Y (Y)	6	N	Y	0.3650	0.8333	2	O	 
15	12	Y (Y)	4	Y	Y	1.0000	1.0000	4	O	 
16	12	Y (Y)	4	N	Y	0.6031	0.8333	3	O	 
17	10	Y (Y)	6	N	Y	0.3968	0.8333	2	O	 
18	10	Y (Y)	6	N	N	0.7142	1.0000	4	O	 
19	8	Y (Y)	6	N	N	0.8730	0.9444	4	O	 
20	7	Y (Y)	6	N	Y	0.6407	0.7894	3	O	 
21	7	Y (Y)	6	N	Y	0.4722	1.0000	2	O	 
22	6	Y (Y)	6	N	Y	0.4000	0.9473	2	O	 
23	6	Y (Y)	5	N	Y	0.4404	1.0000	2	O	 
24	5	Y (Y)	6	N	Y	0.3888	0.8333	2	O	 
25	5	Y (Y)	6	N	Y	0.3888	0.8333	2	O	 
26	4	Y (Y)	6	N	Y	0.7000	0.8947	3	O	 
27	4	Y (Y)	6	N	Y	0.3214	0.6944	2	O	 
28	3	Y (Y)	6	N	Y	0.4246	0.9722	2	O	 
29	3	Y (Y)	6	N	Y	0.4166	1.0000	2	O	 
30	2	Y (Y)	6	N	Y	0.8888	1.0000	4	O	 
31	2	Y (Y)	6	N	Y	0.2420	0.7777	2	O	 
32	1	Y (Y)	6	N	Y	0.7777	1.0000	3	X	 
33	1	Y (Y)	6	N	Y	0.4206	1.0000	2	O	 
34	1	Y (Y)	6	N	Y	0.4166	0.8333	2	O	 
35	1	Y (Y)	6	N	N	0.6428	0.8333	3	X	 
