Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ2119-04-00	재무관리	3	김소정	월5,6,수6	경영B201	62	94	62 (Y)	0	44	9	9	O	12	7	12	11.73
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	1.0000	0.8333	4	O	 
2	12	Y (Y)	6	N	Y	0.8571	1.0000	4	O	 
3	12	Y (Y)	6	N	Y	0.8571	0.8333	4	O	 
4	12	Y (Y)	6	N	Y	0.8571	0.8333	4	O	 
5	12	Y (Y)	6	N	Y	0.8095	1.0000	4	O	 
6	12	Y (Y)	6	N	Y	0.8064	1.0000	4	O	 
7	12	Y (Y)	6	N	Y	0.7380	0.8333	4	O	 
8	12	Y (Y)	6	N	Y	0.7380	0.6666	4	O	 
9	12	Y (Y)	6	N	Y	0.7301	0.5000	3	O	 
10	12	Y (Y)	6	N	Y	0.7063	0.6666	4	O	 
11	12	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
12	12	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
13	12	Y (Y)	6	N	Y	0.6074	0.9736	3	O	 
14	12	Y (Y)	6	N	Y	0.6051	1.0000	3	O	 
15	12	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
16	12	Y (Y)	6	N	Y	0.5892	0.9166	3	O	 
17	12	Y (Y)	6	N	Y	0.5793	0.6666	3	O	 
18	12	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
19	12	Y (Y)	6	N	Y	0.5714	0.6944	3	X	 
20	12	Y (Y)	6	N	Y	0.5555	0.8888	3	X	 
21	12	Y (Y)	6	N	Y	0.5476	0.8055	3	X	 
22	12	Y (Y)	6	N	Y	0.5436	0.8888	3	X	 
23	12	Y (Y)	6	N	Y	0.5317	0.8333	3	X	 
24	12	Y (Y)	6	N	Y	0.5185	0.9473	3	X	 
