Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ2122-01-00	경영과학	3	김학진	월5,6,수6	경영B205	34	26	34 (Y)	0	28	3	3	10	12	1	12	9.81
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	0.9206	1.0000	4	O	 
2	12	Y (Y)	6	N	Y	0.6984	1.0000	4	O	 
3	12	Y (Y)	6	N	Y	0.6111	0.5000	3	O	 
4	12	Y (Y)	6	N	Y	0.6031	0.8333	3	O	 
5	12	Y (Y)	6	N	Y	0.5793	0.6666	3	O	 
6	12	Y (Y)	6	N	Y	0.4325	0.8611	2	O	 
7	12	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
8	12	Y (Y)	6	N	Y	0.4047	1.0000	2	O	 
9	12	Y (Y)	6	N	Y	0.3769	0.8611	2	O	 
10	12	Y (Y)	6	N	Y	0.3650	0.8333	2	O	 
11	12	Y (Y)	6	N	Y	0.3611	0.6944	2	O	 
12	12	Y (Y)	6	N	Y	0.3253	1.0000	2	O	 
13	12	Y (Y)	5	Y	N	0.8809	0.8333	4	O	 
14	12	Y (Y)	5	N	Y	0.7500	0.8750	4	O	교환학생 
15	12	Y (Y)	5	N	Y	0.4007	0.6944	2	O	 
16	12	Y (Y)	4	Y	N	1.0000	0.8333	4	X	 
17	12	Y (Y)	4	N	Y	0.5000	0.8750	3	O	교환학생 
18	12	N (N)	6	N	Y	0.3174	0.8611	2	X	 
19	11	Y (Y)	6	N	Y	0.4206	0.8333	2	O	 
20	8	Y (Y)	6	N	Y	0.4484	0.9166	2	O	 
21	6	Y (Y)	6	N	Y	0.4166	1.0000	2	O	 
22	6	Y (Y)	6	N	Y	0.3730	1.0000	2	O	 
23	3	Y (Y)	6	N	Y	0.4047	0.8611	2	O	 
24	3	Y (Y)	5	N	Y	0.4007	0.9722	2	O	 
25	1	Y (Y)	6	N	Y	0.4841	0.8055	3	X	 
26	1	Y (Y)	6	N	Y	0.3015	0.6666	2	O	 
