Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ2122-03-00	경영과학	3	박선주	월9,10,수10	경영B201	34	23	34 (Y)	0	28	3	3	10	12	2	12	9.61
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	Y	Y	0.8730	1.0000	4	O	 
2	12	Y (Y)	6	N	Y	0.7703	0.9473	4	O	 
3	12	Y (Y)	6	N	Y	0.6535	0.8157	3	O	 
4	12	Y (Y)	6	N	Y	0.5277	0.1944	3	O	 
5	12	Y (Y)	6	N	Y	0.5099	0.9166	3	O	 
6	12	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
7	12	Y (Y)	6	N	Y	0.4126	0.8888	2	O	 
8	12	Y (Y)	6	N	Y	0.4047	0.8333	2	O	 
9	12	Y (Y)	6	N	Y	0.3888	1.0000	2	O	 
10	12	Y (Y)	6	N	Y	0.3253	0.7222	2	O	 
11	12	Y (Y)	5	N	Y	0.5000	1.0000	3	X	 
12	12	Y (Y)	5	N	Y	0.3174	1.0000	2	O	 
13	12	Y (Y)	4	N	Y	0.7500	0.8750	4	O	교환학생 
14	12	N (N)	5	N	Y	0.9185	1.0000	4	X	 
15	10	Y (Y)	6	N	Y	0.4444	1.0000	2	O	 
16	10	Y (Y)	6	N	Y	0.4007	0.8611	2	O	 
17	10	Y (Y)	6	N	Y	0.3809	0.8333	2	O	 
18	6	Y (Y)	6	N	Y	0.4007	0.9722	2	O	 
19	6	Y (Y)	6	N	Y	0.3888	1.0000	2	O	 
20	5	Y (Y)	6	N	Y	0.4007	1.0000	2	O	 
21	2	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
22	2	Y (Y)	6	N	Y	0.4206	1.0000	2	O	 
23	2	Y (Y)	6	N	Y	0.3253	0.8611	2	O	 
